End_year,Name,Release_season,Release_year,Tags
,your name.,,2016,"Drama, Romance, Body Swapping, Gender Bender, Opposites Attract, School Life, Supernatural, Original Work"
2016,Haikyuu!! Second Season,Fall ,2015,"Shounen, Sports, School Club, School Life, Tournaments, Volleyball, Based on a Manga"
,Demon Slayer: Kimetsu no Yaiba,Spring,2019,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Death of a Loved One, Demons, Historical, Martial Arts, Orphans, Siblings, Swordplay, Based on a Manga, Violence"
2014,Hunter x Hunter (2011),Fall ,2011,"Action, Adventure, Drama, Fantasy, Shounen, Monsters, Superpowers, Based on a Manga, Violence"
,A Silent Voice,,2016,"Drama, Shounen, Disability, Melancholy, Mental Illness, School Life, Based on a Manga, Bullying,, Mature Themes,, Suicide"
,Violet Evergarden Movie,,2020,"Drama, Melancholy, War, Based on a Light Novel, Violence"
,Haikyuu!! To the Top: Part II,Fall ,2020,"Shounen, Sports, Animeism, School Club, Tournaments, Volleyball, Based on a Manga"
,"Heaven Official's Blessing Special",,2021,"BL, Romance, Shounen-ai, Afterlife, Ancient China, Chinese Animation, Demon King, Ghosts, Gods, Interspecies Relationship, Non-Human Protagonists, Opposites Attract, Royalty, Supernatural, Xianxia, Based on a Web Novel"
,That Time I Got Reincarnated as a Slime Season 2,Winter,2021,"Action, Adventure, Fantasy, Shounen, Cheats, Demons, Isekai, Kingdom Building, Magic, Management, Modern Knowledge, Monsters, Person in a Strange World, Political, Reincarnation, RPG, Slimes, Based on a Manga"
,Given,Summer,2019,"BL, Drama, Romance, Shounen-ai, Death of a Loved One, Music, noitaminA, Based on a Manga, Mature Themes,, Suicide"
,Code Geass: Lelouch of the Rebellion R2,Spring,2008,"Mecha, Sci Fi, Conspiracy, Mind Games, Overpowered Main Characters, Political, Psychological, Real Robot, Rebellions, Rivalries, Royalty, Secret Identity, Superpowers, Terrorism, Original Work"
,Mo Dao Zu Shi 2,,2019,"Action, Fantasy, Mystery, Ancient China, Chinese Animation, Cultivation, Historical, Martial Arts, Overpowered Main Characters, Supernatural, Swordplay, War, Xianxia, Zombies, Based on a Web Novel, Violence"
,Gintama: The Very Final,,2021,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Feudal Japan, Gag, Parody, Samurai, Swordplay, Based on a Manga, Violence"
,Link Click,,2021,"Drama, Fantasy, Chinese Animation, Contemporary Fantasy, Superpowers, Time Travel, Urban Fantasy, Original Work, Violence"
,Mob Psycho 100 II,Winter,2019,"Action, Comedy, Exorcists, Psychic Powers, Psychological, School Life, Supernatural, Superpowers, Based on a Manga, Violence"
,Haikyuu!! To the Top,Winter,2020,"Shounen, Sports, Animeism, School Club, Tournaments, Volleyball, Based on a Manga"
,Fruits Basket 2nd Season,Spring,2020,"Comedy, Drama, Fantasy, Romance, Shoujo, Animal Transformation, Contemporary Fantasy, Curse, Dysfunctional Families, Love Triangle, Mental Illness, Orphans, Based on a Manga, Bullying,, Emotional Abuse,, Mature Themes,, Physical Abuse,, Domestic Abuse"
,The Promised Neverland,Winter,2019,"Fantasy, Horror, Mystery, Sci Fi, Shounen, Dark Fantasy, Isolated Society, Mind Games, noitaminA, Orphans, Outside World, Psychological, Thriller, Based on a Manga, Mature Themes,, Domestic Abuse,, Self-Harm"
,Spirited Away,,2001,"Adventure, Fantasy, Curse, Family Friendly, Japanese Mythology, Magic, Person in a Strange World, Youkai, Original Work"
,That Time I Got Reincarnated as a Slime Season 2: Part II,Summer,2021,"Action, Adventure, Fantasy, Shounen, Cheats, Demons, Isekai, Kingdom Building, Magic, Management, Modern Knowledge, Monsters, Person in a Strange World, Political, Reincarnation, RPG, Slimes, Based on a Manga, Physical Abuse"
2021,"Heaven Official's Blessing",,2020,"Action, BL, Comedy, Drama, Romance, Shounen-ai, Afterlife, Ancient China, Chinese Animation, Demon King, Demons, Ghosts, Gods, Heaven, Historical, Interspecies Relationship, Non-Human Protagonists, Opposites Attract, Religion, Royalty, Supernatural, Xianxia, Based on a Web Novel, Bullying,, Violence"
,Ranking of Kings,Fall ,2021,"Action, Adventure, Fantasy, Coming of Age, Disability, Royalty, Based on a Manga, Violence"
,Mushoku Tensei: Jobless Reincarnation - Part II,Fall ,2021,"Action, Adventure, Drama, Fantasy, Romance, Demons, Isekai, Magic, NEET, Person in a Strange World, Reincarnation, Based on a Light Novel, Mature Themes,, Violence"
,Gintama.: Shirogane no Tamashii-hen 2,Summer,2018,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Crude, Feudal Japan, Gag, Samurai, Slapstick, Swordplay, Based on a Manga"
2009,Clannad After Story,Fall ,2008,"Drama, Romance, Adult Couples, Coming of Age, Family Life, Illness, Based on a Visual Novel, Drug Use,, Mature Themes"
,Mo Dao Zu Shi,,2018,"Action, Adventure, Mystery, Ancient China, Chinese Animation, Cultivation, Historical, Rebellions, Supernatural, Swordplay, War, Xianxia, Zombies, Based on a Web Novel, Violence"
2013,"Gintama': Enchousen",Fall ,2012,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Crude, Feudal Japan, Gag, Parody, Samurai, Slapstick, Swordplay, Based on a Manga"
,Banana Fish,Summer,2018,"Action, Drama, Shoujo, America, Criminals, Gangs, noitaminA, Based on a Manga, Drug Use,, Mature Themes,, Physical Abuse,, Prostitution,, Sexual Abuse,, Violence"
,Douluo Dalu 2,,2018,"Action, Fantasy, Chinese Animation, Cultivation, Xianxia, Based on a Web Novel, CG Animation"
,Gintama Kanketsu-hen: Yorozuya yo Eien Nare,,2013,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Feudal Japan, Samurai, Swordplay, Time Travel, Based on a Manga"
,Gintama.,Winter,2017,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Crude, Feudal Japan, Gag, Samurai, Slapstick, Swordplay, Based on a Manga"
,Gintama.: Shirogane no Tamashii-hen,Winter,2018,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Crude, Feudal Japan, Gag, Samurai, Slapstick, Swordplay, Based on a Manga"
,Attack on Titan 3rd Season,Summer,2018,"Action, Fantasy, Horror, Dark Fantasy, Isolated Society, Military, Outside World, Political, Post-apocalyptic, Based on a Manga, Cannibalism,, Explicit Violence"
,Steins;Gate,Spring,2011,"Sci Fi, Conspiracy, LGBT Themes, Psychological, Thriller, Time Travel, Based on a Visual Novel, Mature Themes,, Suicide"
,Haikyuu!!,Spring,2014,"Shounen, Sports, School Club, School Life, Tournaments, Volleyball, Based on a Manga"
2012,"Gintama'",Spring,2011,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Breaking the Fourth Wall, Crude, Feudal Japan, Gag, Parody, Samurai, Slapstick, Swordplay, Based on a Manga"
,One-Punch Man,Fall ,2015,"Action, Comedy, Sci Fi, Seinen, Cyborgs, Monsters, Overpowered Main Characters, Parody, Satire, Superheroes, Superpowers, Based on a Manga, Explicit Violence"
,Demon Slayer: Kimetsu no Yaiba - Mugen Train,Fall ,2021,"Action, Drama, Fantasy, Shounen, Demons, Historical, Orphans, Siblings, Swordplay, Trains, Based on a Manga, Mature Themes,, Suicide,, Violence"
2016,Gintama°,Spring,2015,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Breaking the Fourth Wall, Crude, Feudal Japan, Gag, Parody, Samurai, Slapstick, Swordplay, Based on a Manga"
,"Howl's Moving Castle",,2004,"Adventure, Fantasy, Romance, Curse, Family Friendly, Lifestyle Change, Magic, Witches, Based on a Novel"
,"Natsume's Book of Friends Season 6",Spring,2017,"Drama, Fantasy, Shoujo, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga"
2019,"JoJo's Bizarre Adventure: Golden Wind",Fall ,2018,"Action, Adventure, Shounen, Europe, Italy, Supernatural, Based on a Manga, Animal Abuse,, Mature Themes"
,"JoJo's Bizarre Adventure: Stone Ocean",Fall ,2021,"Action, Adventure, Shounen, America, Prison, Supernatural, Based on a Manga"
,Vinland Saga,Summer,2019,"Action, Seinen, Death of a Loved One, England, Europe, Historical, Medieval, Revenge, Swordplay, War, Weak to Strong, Based on a Manga, Violence"
,"Natsume's Book of Friends Season 4",Winter,2012,"Drama, Shoujo, Slice of Life, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga"
,Assassination Classroom 2nd Season,Winter,2016,"Action, Comedy, Sci Fi, Shounen, Assassins, Non-Human Protagonists, Overpowered Main Characters, Parody, School Life, Teaching, Based on a Manga"
,"Natsume's Book of Friends Season 5",Fall ,2016,"Drama, Shoujo, Slice of Life, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga"
,My Hero Academia 3,Spring,2018,"Action, Comedy, Drama, Sci Fi, Shounen, Superheroes, Superpowers, Based on a Manga, Violence"
,Violet Evergarden,Winter,2018,"Drama, Lifestyle Change, Melancholy, War, Based on a Light Novel, Violence"
2019,That Time I Got Reincarnated as a Slime,Fall ,2018,"Action, Adventure, Comedy, Fantasy, Shounen, Cheats, Demons, Isekai, Kingdom Building, Magic, Management, Modern Knowledge, Monsters, Non-Human Protagonists, Overpowered Main Characters, Person in a Strange World, Political, Reincarnation, RPG, Slimes, Based on a Manga, Violence"
,My Hero Academia 2,Spring,2017,"Action, Comedy, Drama, Sci Fi, Shounen, School Life, Superheroes, Superpowers, Tournaments, Weak to Strong, Based on a Manga, Emotional Abuse,, Mature Themes,, Physical Abuse,, Violence,, Domestic Abuse"
,Wolf Children,,2012,"Fantasy, Slice of Life, Animal Characteristics, Animal Transformation, Childcare, Coming of Age, Contemporary Fantasy, Countryside, Death of a Loved One, Family Life, Lifestyle Change, Single Parent, Werewolves, Original Work, Nudity"
,SK8 the Infinity,Winter,2021,"Comedy, Sports, Racing, Original Work, Emotional Abuse,, Mature Themes,, Physical Abuse,, Domestic Abuse"
2002,Hajime no Ippo: The Fighting!,Fall ,2000,"Action, Drama, Shounen, Sports, Boxing, Hand to Hand Combat, Weak to Strong, Based on a Manga"
2007,Code Geass: Lelouch of the Rebellion,Fall ,2006,"Mecha, Sci Fi, Conspiracy, Mind Games, Overpowered Main Characters, Political, Psychological, Real Robot, Rebellions, Revenge, Rivalries, Royalty, Secret Identity, Superpowers, Terrorism, Original Work, Nudity,, Violence"
,JoJo’s Bizarre Adventure: Stardust Crusaders - Battle in Egypt,Winter,2015,"Action, Adventure, Comedy, Shounen, Monster-of-the-week, Proxy Battles, Supernatural, Based on a Manga, Animal Abuse,, Explicit Violence,, Mature Themes"
,Yona of the Dawn: Zeno Arc,,2016,"Action, Adventure, Drama, Fantasy, Romance, Shoujo, Death of a Loved One, Orphans, Political, Royalty, Based on a Manga, Violence"
,"JoJo's Bizarre Adventure: Diamond is Unbreakable",Spring,2016,"Action, Mystery, Shounen, Proxy Battles, Supernatural, Based on a Manga, Animal Abuse,, Mature Themes,, Violence"
2016,Kamisama Kiss: Kako-hen,,2015,"Comedy, Romance, Shoujo, Animal Characteristics, Interspecies Relationship, Japanese Mythology, Master-Servant Relationship, Non-Human Protagonists, Based on a Manga"
,Hajime no Ippo: New Challenger,Winter,2009,"Action, Drama, Shounen, Sports, Boxing, Hand to Hand Combat, Tournaments, Based on a Manga"
,Mushishi Zoku Shou 2nd Season,Fall ,2014,"Fantasy, Seinen, Episodic, Iyashikei, Supernatural, Based on a Manga"
,Attack on Titan,Spring,2013,"Action, Fantasy, Horror, Shounen, Dark Fantasy, Death of a Loved One, Isolated Society, Military, Outside World, Overpowered Main Characters, Post-apocalyptic, Revenge, Based on a Manga, Cannibalism,, Explicit Violence,, Mature Themes,, Suicide"
,Haikyuu!! Tokushuu! Harukou Volley ni Kaketa Seishun,,2017,"Shounen, Sports, Recap, Volleyball, Based on a Manga"
,Kaguya-sama: Love Is War?,Spring,2020,"Comedy, Drama, Romance, Seinen, Episodic, Love Confession, Mind Games, School Life, Student Council, Based on a Manga"
,Gintama: Porori-hen,Fall ,2017,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Crude, Feudal Japan, Gag, Samurai, Slapstick, Swordplay, Based on a Manga"
2018,March Comes in like a Lion 2nd Season,Fall ,2017,"Drama, Seinen, Slice of Life, Board Games, Melancholy, Orphans, Psychological, Based on a Manga, Bullying,, Emotional Abuse"
,"Natsume's Book of Friends Season 3",Summer,2011,"Drama, Shoujo, Slice of Life, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga"
,Attack on Titan 2nd Season,Spring,2017,"Action, Fantasy, Horror, Shounen, Dark Fantasy, Isolated Society, Military, Outside World, Overpowered Main Characters, Post-apocalyptic, Based on a Manga, Cannibalism,, Explicit Violence"
,I Want to Eat Your Pancreas,,2018,"Drama, Romance, Seinen, Coming of Age, Illness, Opposites Attract, School Life, Based on a Novel"
,Rascal Does Not Dream of a Dreaming Girl,,2019,"Drama, Romance, Illness, Senpai-Kouhai Relationship, Supernatural, Time Travel, Based on a Light Novel"
,Given Movie,,2020,"BL, Drama, Romance, Shounen-ai, Adult Couples, Codependency, Love Triangle, Mature Romance, Music, Based on a Manga, Emotional Abuse,, Mature Themes,, Physical Abuse,, Sexual Abuse,, Sexual Content"
,Mushishi Zoku Shou,Spring,2014,"Fantasy, Seinen, Episodic, Iyashikei, Supernatural, Based on a Manga"
,Princess Mononoke,,1997,"Action, Adventure, Fantasy, Curse, Environmental, Feudal Japan, Forest, Japanese Mythology, Royalty, Original Work"
,"Kuroko's Basketball 3",Winter,2015,"Shounen, Sports, Basketball, School Club, Tournaments, Based on a Manga"
,BTS: We are Bulletproof - the Eternal,,2020,"Chibi, Korean Animation"
,Haikyuu!! Movie 4: Battle of Concepts,,2017,"Shounen, Sports, Recap, School Club, Tournaments, Volleyball, Based on a Manga"
,Dr. Stone,Summer,2019,"Adventure, Comedy, Sci Fi, Shounen, Person in a Strange World, Post-apocalyptic, Prehistoric, Survival, Based on a Manga"
2015,Attack on Titan: No Regrets,,2014,"Action, Fantasy, Shoujo, Dark Fantasy, Isolated Society, Military, Outside World, Post-apocalyptic, Based on a Manga, Cannibalism,, Explicit Violence"
,Horimiya,Winter,2021,"Comedy, Romance, Shounen, Romantic Comedy, School Life, Based on a Manga"
1999,Cowboy Bebop,Spring,1998,"Action, Adventure, Drama, Sci Fi, Bounty Hunters, Episodic, Noir, Outer Space, Western, Original Work, Drug Use,, Mature Themes,, Nudity,, Violence"
,Hotarubi no Mori e,,2011,"Drama, Romance, Shoujo, Coming of Age, Forest, Japanese Mythology, Loneliness, Melancholy, Supernatural, Youkai, Based on a Manga"
,The Disastrous Life of Saiki K. 2nd Season,Winter,2018,"Comedy, Shounen, Slice of Life, Breaking the Fourth Wall, Gag, Psychic Powers, School Life, Supernatural, Superpowers, Based on a Manga"
,Monogatari Series: Second Season,Summer,2013,"Action, Comedy, Drama, Ecchi, Mystery, Romance, Supernatural, Tsundere, Based on a Light Novel, Explicit Violence"
,Castlevania Season 4,Spring,2021,"Action, Adventure, Drama, Horror, 15th Century, Europe, Historical, Magic, Medieval, Supernatural, Vampires, Based on a Video Game, Animal Abuse,, Explicit Violence,, Mature Themes,, Suicide"
,Doukyuusei,,2016,"BL, Drama, Romance, Shounen-ai, All-Boys School, LGBT Themes, Opposites Attract, School Life, Based on a Manga"
,ERASED,Winter,2016,"Drama, Mystery, Seinen, Age Transformation, Crime, Death of a Loved One, Dysfunctional Families, Melancholy, noitaminA, Serial Killers, Supernatural, Thriller, Time Travel, Based on a Manga, Animal Abuse,, Mature Themes,, Physical Abuse,, Domestic Abuse"
,The Rising of the Shield Hero,Winter,2019,"Action, Adventure, Drama, Fantasy, Seinen, Animal Characteristics, Betrayal, Dark Fantasy, Demons, Framed for a Crime, Isekai, Monsters, Person in a Strange World, RPG, Summoned Into Another World, Based on a Light Novel, Violence"
,To Your Eternity,Spring,2021,"Adventure, Drama, Fantasy, Shounen, Animal Transformation, Melancholy, Non-Human Protagonists, Supernatural, Survival, Based on a Manga, Violence"
2014,Hajime no Ippo: Rising,Fall ,2013,"Action, Drama, Shounen, Sports, Boxing, Hand to Hand Combat, Based on a Manga"
,"Josee, the Tiger and the Fish",,2020,"Drama, Romance, Disability, Based on a Novel"
,Made in Abyss,Summer,2017,"Adventure, Drama, Fantasy, Mystery, Sci Fi, Seinen, Androids, Curse, Dark Fantasy, Melancholy, Non-Human Protagonists, Orphans, Outside World, Psychological, Robots, Based on a Manga, Explicit Violence"
,Rurouni Kenshin: Tsuiokuhen,,1999,"Drama, Romance, 19th Century, Feudal Japan, Historical, Melancholy, Samurai, Star-Crossed Lovers, Swordplay, Based on a Manga, Violence"
,Descending Stories: Shouwa Genroku Rakugo Shinjuu,Winter,2017,"Drama, Josei, Adult Couples, Animeism, Apprenticeship, Historical, Rakugo, Based on a Manga"
,Haikyuu!! Movie 3: Talent and Sense,,2017,"Shounen, Sports, Recap, School Club, School Life, Tournaments, Volleyball, Based on a Manga"
2021,Mo Dao Zu Shi Q,,2020,"Comedy, Ancient China, Chibi, Chinese Animation, Episodic, Historical, Short Episodes"
,"Natsume's Book of Friends Season 2",Winter,2009,"Drama, Shoujo, Slice of Life, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga"
,Made in Abyss Movie: Dawn of the Deep Soul,,2020,"Adventure, Fantasy, Horror, Mystery, Sci Fi, Seinen, Curse, Dark Fantasy, Human Experimentation, Non-Human Protagonists, Orphans, Outside World, Robots, Based on a Manga, Explicit Violence,, Nudity"
,Fruits Basket 1st Season,Spring,2019,"Comedy, Drama, Fantasy, Romance, Shoujo, Animal Transformation, Contemporary Fantasy, Curse, Death of a Loved One, Dysfunctional Families, Love Triangle, Orphans, Slapstick, Based on a Manga, Bullying,, Emotional Abuse,, Mature Themes,, Physical Abuse"
,Kizumonogatari Part 3: Reiketsu,,2017,"Action, Drama, Ecchi, Psychological, Supernatural, Vampires, Based on a Light Novel, Explicit Violence,, Nudity"
,Dr. Stone: Stone Wars,Winter,2021,"Adventure, Comedy, Sci Fi, Shounen, Person in a Strange World, Post-apocalyptic, Prehistoric, Survival, Based on a Manga"
2020,My Hero Academia 4,Fall ,2019,"Action, Drama, Sci Fi, Shounen, Superheroes, Superpowers, Based on a Manga, Emotional Abuse,, Mature Themes,, Physical Abuse,, Violence"
,Owarimonogatari II,,2017,"Drama, Mystery, Romance, Supernatural, Based on a Light Novel, Violence"
2000,Great Teacher Onizuka,Summer,1999,"Comedy, Drama, Shounen, Delinquents, School Life, Slapstick, Teaching, Work Life, Based on a Manga, Bullying,, Emotional Abuse"
2015,Your lie in April,Fall ,2014,"Drama, Romance, Shounen, Classical Music, Illness, Melancholy, Mental Illness, Music, noitaminA, Psychological, School Life, Tournaments, Unrequited Love, Based on a Manga, Mature Themes,, Physical Abuse,, Domestic Abuse"
,Bungo Stray Dogs 3rd Season,Spring,2019,"Action, Mystery, Seinen, Supernatural, Superpowers, Based on a Manga, Mature Themes,, Suicide,, Violence"
,Kamisama Kiss 2nd Season,Winter,2015,"Comedy, Fantasy, Romance, Shoujo, Animal Characteristics, Interspecies Relationship, Japanese Mythology, Master-Servant Relationship, Non-Human Protagonists, Based on a Manga"
,Violet Evergarden: Eternity and the Auto Memory Doll,,2019,"Drama, Melancholy, Based on a Light Novel"
,Mob Psycho 100,Summer,2016,"Action, Comedy, Exorcists, Overpowered Main Characters, Psychic Powers, Psychological, School Life, Supernatural, Superpowers, Based on a Manga, Violence"
,"Natsume's Book of Friends Season 6 Specials",,2017,"Drama, Fantasy, Shoujo, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga"
2014,"Kuroko's Basketball 2",Fall ,2013,"Shounen, Sports, Basketball, School Club, Tournaments, Based on a Manga"
,"Natsume's Book of Friends Movie: Ephemeral Bond",,2018,"Drama, Fantasy, Shoujo, Bodyguards, Cats, Countryside, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga"
,Odd Taxi,Spring,2021,"Drama, Mystery, Animal Protagonists, Anthropomorphic, Non-Human Protagonists, Psychological, Social Media, Original Work, Violence"
,The Legend of Hei,,2019,"Action, Adventure, Fantasy, Animal Characteristics, Animal Transformation, Cats, Chinese Animation, Contemporary Fantasy, Family Friendly, Non-Human Protagonists, Urban Fantasy"
2007,Death Note,Fall ,2006,"Mystery, Shounen, Crime, Criminals, Detectives, Mind Games, Overpowered Main Characters, Psychological, Psychopaths, Rivalries, Secret Identity, Serial Killers, Shinigami, Supernatural, Thriller, Vigilantes, Based on a Manga"
,Moriarty the Patriot 2nd Season,Spring,2021,"Mystery, Shounen, 19th Century, Detectives, England, Europe, Historical, Sherlock Holmes, Based on a Manga, Violence"
,"Fate/stay night: Heaven's Feel III. spring song",,2020,"Action, Fantasy, Romance, Magic, Superpowers, Based on an Eroge, Based on a Visual Novel, Mature Themes,, Suicide,, Violence"
,One Piece Movie 14: Stampede,,2019,"Action, Adventure, Shounen, Pirates, Superpowers, Based on a Manga"
2021,Kingdom 3,Spring,2020,"Action, Drama, Seinen, Ancient China, Historical, Political, War, Based on a Manga"
,One Piece,Fall ,1999,"Action, Adventure, Comedy, Fantasy, Shounen, Pirates, Superpowers, Based on a Manga"
,Mushishi: Hihamukage,,2014,"Fantasy, Seinen, Countryside, Illness, Supernatural, Based on a Manga"
,Tokyo Revengers,Spring,2021,"Action, Drama, Shounen, Delinquents, Gangs, Time Travel, Based on a Manga, Mature Themes,, Suicide,, Violence"
,My Hero Academia Movie 2: Heroes:Rising,,2019,"Action, Sci Fi, Shounen, Superheroes, Superpowers, Based on a Manga"
,Fate/Zero 2,Spring,2012,"Action, Fantasy, Contemporary Fantasy, Magic, Proxy Battles, Rivalries, Superpowers, Urban Fantasy, Based on a Light Novel, Violence"
,My Hero Academia,Spring,2016,"Action, Comedy, Drama, Sci Fi, Shounen, School Life, Superheroes, Superpowers, Weak to Strong, Based on a Manga, Violence"
,Steins;Gate Movie: Load Region of Deja Vu,,2013,"Drama, Sci Fi, Thriller, Time Travel, Based on a Visual Novel"
,KonoSuba – God’s blessing on this wonderful world! Movie: Legend of Crimson,,2019,"Comedy, Ecchi, Fantasy, Isekai, NEET, Person in a Strange World, RPG, Based on a Light Novel"
,Yuri!!! on Ice,Fall ,2016,"Drama, Sports, Adult Couples, Ice Skating, Rivalries, Tournaments, Original Work"
,Dou Po Cangqiong: San Nian Zhi Yao,,2021,"Action, Fantasy, Chinese Animation, Xianxia, Based on a Web Novel, CG Animation"
,Dororo (2019),Winter,2019,"Action, Adventure, Shounen, 15th Century, Curse, Dark Fantasy, Deal with the Devil, Demons, Feudal Japan, Historical, Samurai, Supernatural, War, Based on a Manga, Animal Abuse,, Explicit Violence,, Mature Themes,, Physical Abuse,, Sexual Content"
,Bunny Drop,Summer,2011,"Drama, Josei, Slice of Life, Childcare, Family Life, Iyashikei, Lifestyle Change, noitaminA, Single Parent, Based on a Manga"
,Gintama: Shinyaku Benizakura-hen,,2010,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Feudal Japan, Recap, Samurai, Swordplay, Based on a Manga"
,The Garden of Sinners Movie 5: Paradox Paradigm,,2008,"Drama, Mystery, Overpowered Main Characters, Supernatural, Based on a Light Novel, Explicit Violence,, Mature Themes,, Physical Abuse,, Domestic Abuse"
2013,Bakuman. 3,Fall ,2012,"Drama, Shounen, Anime Industry, Manga Industry, Otaku Culture, Voice Acting, Writers, Based on a Manga"
,The Disastrous Life of Saiki K.,Summer,2016,"Comedy, Shounen, Slice of Life, Breaking the Fourth Wall, Gag, Psychic Powers, School Life, Short Episodes, Supernatural, Superpowers, Based on a Manga"
,Given: Uragawa no Sonzai,,2021,"Music, Based on a Manga"
,Black Butler: Book of the Atlantic,,2017,"Shounen, 19th Century, Butlers, Demons, Europe, Master-Servant Relationship, Non-Human Protagonists, Supernatural, Zombies, Based on a Manga, Violence"
,The Boy and the Beast,,2015,"Action, Fantasy, Anthropomorphic, Coming of Age, Isekai, Japanese Mythology, Non-Human Protagonists, Person in a Strange World, Original Work"
,"Miss Kobayashi's Dragon Maid S",Summer,2021,"Comedy, Fantasy, Seinen, Slice of Life, Animal Characteristics, Cohabitation, Contemporary Fantasy, Dragons, Maids, Monster Girls, Non-Human Protagonists, Reverse Isekai, Roommates, Urban Fantasy, Based on a Manga"
,Kono Oto Tomare! 2nd Season,Fall ,2019,"Drama, Romance, Shounen, Music, School Club, School Life, Based on a Manga"
,The Disappearance of Haruhi Suzumiya,,2010,"Drama, Sci Fi, Shounen, Psychological, Time Travel, Based on a Light Novel"
,Kizumonogatari Part 2: Nekketsu,,2016,"Action, Ecchi, Psychological, Supernatural, Vampires, Based on a Light Novel, Explicit Violence"
,Mushishi Zoku Shou: Suzu no Shizuku,,2015,"Fantasy, Seinen, Countryside, Forest, Iyashikei, Supernatural, Based on a Manga"
,Overlord III,Summer,2018,"Action, Fantasy, Sci Fi, Dark Fantasy, Isekai, Magic, Overpowered Main Characters, Person in a Strange World, RPG, Skeletons, Trapped in a Video Game, Virtual Reality, Based on a Light Novel"
,Re:ZERO -Starting Life in Another World- Season 2: Part II,Winter,2021,"Action, Adventure, Drama, Fantasy, Cheats, Dark Fantasy, Isekai, Magic, Person in a Strange World, Psychological, Summoned Into Another World, Thriller, Time Travel, Based on a Light Novel"
,Laid-Back Camp 2nd Season,Winter,2021,"Adventure, Comedy, Seinen, Slice of Life, Iyashikei, The Great Outdoors, Based on a Manga"
,Saga of Tanya the Evil Movie,,2019,"Action, Fantasy, Guns, Isekai, Military, Person in a Strange World, Reincarnation, War, Based on a Light Novel, Violence"
