Name,Tags
Code Geass: Lelouch of the Rebellion R2,"Mecha, Sci Fi, Conspiracy, Mind Games, Overpowered Main Characters, Political, Psychological, Real Robot, Rebellions, Rivalries, Royalty, Secret Identity, Superpowers, Terrorism, Original Work"
Mo Dao Zu Shi 2,"Action, Fantasy, Mystery, Ancient China, Chinese Animation, Cultivation, Historical, Martial Arts, Overpowered Main Characters, Supernatural, Swordplay, War, Xianxia, Zombies, Based on a Web Novel, Violence"
Gintama: The Very Final,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Feudal Japan, Gag, Parody, Samurai, Swordplay, Based on a Manga, Violence"
Link Click,"Drama, Fantasy, Chinese Animation, Contemporary Fantasy, Superpowers, Time Travel, Urban Fantasy, Original Work, Violence"
Mob Psycho 100 II,"Action, Comedy, Exorcists, Psychic Powers, Psychological, School Life, Supernatural, Superpowers, Based on a Manga, Violence"
Haikyuu!! To the Top,"Shounen, Sports, Animeism, School Club, Tournaments, Volleyball, Based on a Manga"
Fruits Basket 2nd Season,"Comedy, Drama, Fantasy, Romance, Shoujo, Animal Transformation, Contemporary Fantasy, Curse, Dysfunctional Families, Love Triangle, Mental Illness, Orphans, Based on a Manga, Bullying,, Emotional Abuse,, Mature Themes,, Physical Abuse,, Domestic Abuse"
The Promised Neverland,"Fantasy, Horror, Mystery, Sci Fi, Shounen, Dark Fantasy, Isolated Society, Mind Games, noitaminA, Orphans, Outside World, Psychological, Thriller, Based on a Manga, Mature Themes,, Domestic Abuse,, Self-Harm"
Spirited Away,"Adventure, Fantasy, Curse, Family Friendly, Japanese Mythology, Magic, Person in a Strange World, Youkai, Original Work"
That Time I Got Reincarnated as a Slime Season 2: Part II,"Action, Adventure, Fantasy, Shounen, Cheats, Demons, Isekai, Kingdom Building, Magic, Management, Modern Knowledge, Monsters, Person in a Strange World, Political, Reincarnation, RPG, Slimes, Based on a Manga, Physical Abuse"
"Heaven Official's Blessing","Action, BL, Comedy, Drama, Romance, Shounen-ai, Afterlife, Ancient China, Chinese Animation, Demon King, Demons, Ghosts, Gods, Heaven, Historical, Interspecies Relationship, Non-Human Protagonists, Opposites Attract, Religion, Royalty, Supernatural, Xianxia, Based on a Web Novel, Bullying,, Violence"
Ranking of Kings,"Action, Adventure, Fantasy, Coming of Age, Disability, Royalty, Based on a Manga, Violence"
Mushoku Tensei: Jobless Reincarnation - Part II,"Action, Adventure, Drama, Fantasy, Romance, Demons, Isekai, Magic, NEET, Person in a Strange World, Reincarnation, Based on a Light Novel, Mature Themes,, Violence"
Gintama.: Shirogane no Tamashii-hen 2,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Crude, Feudal Japan, Gag, Samurai, Slapstick, Swordplay, Based on a Manga"
Clannad After Story,"Drama, Romance, Adult Couples, Coming of Age, Family Life, Illness, Based on a Visual Novel, Drug Use,, Mature Themes"
Mo Dao Zu Shi,"Action, Adventure, Mystery, Ancient China, Chinese Animation, Cultivation, Historical, Rebellions, Supernatural, Swordplay, War, Xianxia, Zombies, Based on a Web Novel, Violence"
"Gintama': Enchousen","Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Crude, Feudal Japan, Gag, Parody, Samurai, Slapstick, Swordplay, Based on a Manga"
Banana Fish,"Action, Drama, Shoujo, America, Criminals, Gangs, noitaminA, Based on a Manga, Drug Use,, Mature Themes,, Physical Abuse,, Prostitution,, Sexual Abuse,, Violence"
Douluo Dalu 2,"Action, Fantasy, Chinese Animation, Cultivation, Xianxia, Based on a Web Novel, CG Animation"
Gintama Kanketsu-hen: Yorozuya yo Eien Nare,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Feudal Japan, Samurai, Swordplay, Time Travel, Based on a Manga"
Gintama.,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Crude, Feudal Japan, Gag, Samurai, Slapstick, Swordplay, Based on a Manga"
Gintama.: Shirogane no Tamashii-hen,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Crude, Feudal Japan, Gag, Samurai, Slapstick, Swordplay, Based on a Manga"
Attack on Titan 3rd Season,"Action, Fantasy, Horror, Dark Fantasy, Isolated Society, Military, Outside World, Political, Post-apocalyptic, Based on a Manga, Cannibalism,, Explicit Violence"
Steins;Gate,"Sci Fi, Conspiracy, LGBT Themes, Psychological, Thriller, Time Travel, Based on a Visual Novel, Mature Themes,, Suicide"
Haikyuu!!,"Shounen, Sports, School Club, School Life, Tournaments, Volleyball, Based on a Manga"
"Gintama'","Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Breaking the Fourth Wall, Crude, Feudal Japan, Gag, Parody, Samurai, Slapstick, Swordplay, Based on a Manga"
One-Punch Man,"Action, Comedy, Sci Fi, Seinen, Cyborgs, Monsters, Overpowered Main Characters, Parody, Satire, Superheroes, Superpowers, Based on a Manga, Explicit Violence"
Demon Slayer: Kimetsu no Yaiba - Mugen Train,"Action, Drama, Fantasy, Shounen, Demons, Historical, Orphans, Siblings, Swordplay, Trains, Based on a Manga, Mature Themes,, Suicide,, Violence"
Gintama°,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Breaking the Fourth Wall, Crude, Feudal Japan, Gag, Parody, Samurai, Slapstick, Swordplay, Based on a Manga"
"Howl's Moving Castle","Adventure, Fantasy, Romance, Curse, Family Friendly, Lifestyle Change, Magic, Witches, Based on a Novel"
"Natsume's Book of Friends Season 6","Drama, Fantasy, Shoujo, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga"
"JoJo's Bizarre Adventure: Golden Wind","Action, Adventure, Shounen, Europe, Italy, Supernatural, Based on a Manga, Animal Abuse,, Mature Themes"
"JoJo's Bizarre Adventure: Stone Ocean","Action, Adventure, Shounen, America, Prison, Supernatural, Based on a Manga"
Vinland Saga,"Action, Seinen, Death of a Loved One, England, Europe, Historical, Medieval, Revenge, Swordplay, War, Weak to Strong, Based on a Manga, Violence"
"Natsume's Book of Friends Season 4","Drama, Shoujo, Slice of Life, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga"
Assassination Classroom 2nd Season,"Action, Comedy, Sci Fi, Shounen, Assassins, Non-Human Protagonists, Overpowered Main Characters, Parody, School Life, Teaching, Based on a Manga"
"Natsume's Book of Friends Season 5","Drama, Shoujo, Slice of Life, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga"
My Hero Academia 3,"Action, Comedy, Drama, Sci Fi, Shounen, Superheroes, Superpowers, Based on a Manga, Violence"
Violet Evergarden,"Drama, Lifestyle Change, Melancholy, War, Based on a Light Novel, Violence"
That Time I Got Reincarnated as a Slime,"Action, Adventure, Comedy, Fantasy, Shounen, Cheats, Demons, Isekai, Kingdom Building, Magic, Management, Modern Knowledge, Monsters, Non-Human Protagonists, Overpowered Main Characters, Person in a Strange World, Political, Reincarnation, RPG, Slimes, Based on a Manga, Violence"
My Hero Academia 2,"Action, Comedy, Drama, Sci Fi, Shounen, School Life, Superheroes, Superpowers, Tournaments, Weak to Strong, Based on a Manga, Emotional Abuse,, Mature Themes,, Physical Abuse,, Violence,, Domestic Abuse"
Wolf Children,"Fantasy, Slice of Life, Animal Characteristics, Animal Transformation, Childcare, Coming of Age, Contemporary Fantasy, Countryside, Death of a Loved One, Family Life, Lifestyle Change, Single Parent, Werewolves, Original Work, Nudity"
SK8 the Infinity,"Comedy, Sports, Racing, Original Work, Emotional Abuse,, Mature Themes,, Physical Abuse,, Domestic Abuse"
Hajime no Ippo: The Fighting!,"Action, Drama, Shounen, Sports, Boxing, Hand to Hand Combat, Weak to Strong, Based on a Manga"
Code Geass: Lelouch of the Rebellion,"Mecha, Sci Fi, Conspiracy, Mind Games, Overpowered Main Characters, Political, Psychological, Real Robot, Rebellions, Revenge, Rivalries, Royalty, Secret Identity, Superpowers, Terrorism, Original Work, Nudity,, Violence"
JoJo’s Bizarre Adventure: Stardust Crusaders - Battle in Egypt,"Action, Adventure, Comedy, Shounen, Monster-of-the-week, Proxy Battles, Supernatural, Based on a Manga, Animal Abuse,, Explicit Violence,, Mature Themes"
Yona of the Dawn: Zeno Arc,"Action, Adventure, Drama, Fantasy, Romance, Shoujo, Death of a Loved One, Orphans, Political, Royalty, Based on a Manga, Violence"
"JoJo's Bizarre Adventure: Diamond is Unbreakable","Action, Mystery, Shounen, Proxy Battles, Supernatural, Based on a Manga, Animal Abuse,, Mature Themes,, Violence"
Kamisama Kiss: Kako-hen,"Comedy, Romance, Shoujo, Animal Characteristics, Interspecies Relationship, Japanese Mythology, Master-Servant Relationship, Non-Human Protagonists, Based on a Manga"
Hajime no Ippo: New Challenger,"Action, Drama, Shounen, Sports, Boxing, Hand to Hand Combat, Tournaments, Based on a Manga"
Mushishi Zoku Shou 2nd Season,"Fantasy, Seinen, Episodic, Iyashikei, Supernatural, Based on a Manga"
Attack on Titan,"Action, Fantasy, Horror, Shounen, Dark Fantasy, Death of a Loved One, Isolated Society, Military, Outside World, Overpowered Main Characters, Post-apocalyptic, Revenge, Based on a Manga, Cannibalism,, Explicit Violence,, Mature Themes,, Suicide"
Haikyuu!! Tokushuu! Harukou Volley ni Kaketa Seishun,"Shounen, Sports, Recap, Volleyball, Based on a Manga"
Kaguya-sama: Love Is War?,"Comedy, Drama, Romance, Seinen, Episodic, Love Confession, Mind Games, School Life, Student Council, Based on a Manga"
Gintama: Porori-hen,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Crude, Feudal Japan, Gag, Samurai, Slapstick, Swordplay, Based on a Manga"
March Comes in like a Lion 2nd Season,"Drama, Seinen, Slice of Life, Board Games, Melancholy, Orphans, Psychological, Based on a Manga, Bullying,, Emotional Abuse"
"Natsume's Book of Friends Season 3","Drama, Shoujo, Slice of Life, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga"
Attack on Titan 2nd Season,"Action, Fantasy, Horror, Shounen, Dark Fantasy, Isolated Society, Military, Outside World, Overpowered Main Characters, Post-apocalyptic, Based on a Manga, Cannibalism,, Explicit Violence"
I Want to Eat Your Pancreas,"Drama, Romance, Seinen, Coming of Age, Illness, Opposites Attract, School Life, Based on a Novel"
Rascal Does Not Dream of a Dreaming Girl,"Drama, Romance, Illness, Senpai-Kouhai Relationship, Supernatural, Time Travel, Based on a Light Novel"
Given Movie,"BL, Drama, Romance, Shounen-ai, Adult Couples, Codependency, Love Triangle, Mature Romance, Music, Based on a Manga, Emotional Abuse,, Mature Themes,, Physical Abuse,, Sexual Abuse,, Sexual Content"
Mushishi Zoku Shou,"Fantasy, Seinen, Episodic, Iyashikei, Supernatural, Based on a Manga"
Princess Mononoke,"Action, Adventure, Fantasy, Curse, Environmental, Feudal Japan, Forest, Japanese Mythology, Royalty, Original Work"
"Kuroko's Basketball 3","Shounen, Sports, Basketball, School Club, Tournaments, Based on a Manga"
BTS: We are Bulletproof - the Eternal,"Chibi, Korean Animation"
Haikyuu!! Movie 4: Battle of Concepts,"Shounen, Sports, Recap, School Club, Tournaments, Volleyball, Based on a Manga"
Dr. Stone,"Adventure, Comedy, Sci Fi, Shounen, Person in a Strange World, Post-apocalyptic, Prehistoric, Survival, Based on a Manga"
Attack on Titan: No Regrets,"Action, Fantasy, Shoujo, Dark Fantasy, Isolated Society, Military, Outside World, Post-apocalyptic, Based on a Manga, Cannibalism,, Explicit Violence"
Horimiya,"Comedy, Romance, Shounen, Romantic Comedy, School Life, Based on a Manga"
Cowboy Bebop,"Action, Adventure, Drama, Sci Fi, Bounty Hunters, Episodic, Noir, Outer Space, Western, Original Work, Drug Use,, Mature Themes,, Nudity,, Violence"
Hotarubi no Mori e,"Drama, Romance, Shoujo, Coming of Age, Forest, Japanese Mythology, Loneliness, Melancholy, Supernatural, Youkai, Based on a Manga"
The Disastrous Life of Saiki K. 2nd Season,"Comedy, Shounen, Slice of Life, Breaking the Fourth Wall, Gag, Psychic Powers, School Life, Supernatural, Superpowers, Based on a Manga"
Monogatari Series: Second Season,"Action, Comedy, Drama, Ecchi, Mystery, Romance, Supernatural, Tsundere, Based on a Light Novel, Explicit Violence"
Castlevania Season 4,"Action, Adventure, Drama, Horror, 15th Century, Europe, Historical, Magic, Medieval, Supernatural, Vampires, Based on a Video Game, Animal Abuse,, Explicit Violence,, Mature Themes,, Suicide"
Doukyuusei,"BL, Drama, Romance, Shounen-ai, All-Boys School, LGBT Themes, Opposites Attract, School Life, Based on a Manga"
ERASED,"Drama, Mystery, Seinen, Age Transformation, Crime, Death of a Loved One, Dysfunctional Families, Melancholy, noitaminA, Serial Killers, Supernatural, Thriller, Time Travel, Based on a Manga, Animal Abuse,, Mature Themes,, Physical Abuse,, Domestic Abuse"
The Rising of the Shield Hero,"Action, Adventure, Drama, Fantasy, Seinen, Animal Characteristics, Betrayal, Dark Fantasy, Demons, Framed for a Crime, Isekai, Monsters, Person in a Strange World, RPG, Summoned Into Another World, Based on a Light Novel, Violence"
To Your Eternity,"Adventure, Drama, Fantasy, Shounen, Animal Transformation, Melancholy, Non-Human Protagonists, Supernatural, Survival, Based on a Manga, Violence"
Hajime no Ippo: Rising,"Action, Drama, Shounen, Sports, Boxing, Hand to Hand Combat, Based on a Manga"
"Josee, the Tiger and the Fish","Drama, Romance, Disability, Based on a Novel"
Made in Abyss,"Adventure, Drama, Fantasy, Mystery, Sci Fi, Seinen, Androids, Curse, Dark Fantasy, Melancholy, Non-Human Protagonists, Orphans, Outside World, Psychological, Robots, Based on a Manga, Explicit Violence"
Rurouni Kenshin: Tsuiokuhen,"Drama, Romance, 19th Century, Feudal Japan, Historical, Melancholy, Samurai, Star-Crossed Lovers, Swordplay, Based on a Manga, Violence"
Descending Stories: Shouwa Genroku Rakugo Shinjuu,"Drama, Josei, Adult Couples, Animeism, Apprenticeship, Historical, Rakugo, Based on a Manga"
Haikyuu!! Movie 3: Talent and Sense,"Shounen, Sports, Recap, School Club, School Life, Tournaments, Volleyball, Based on a Manga"
Mo Dao Zu Shi Q,"Comedy, Ancient China, Chibi, Chinese Animation, Episodic, Historical, Short Episodes"
"Natsume's Book of Friends Season 2","Drama, Shoujo, Slice of Life, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga"
Made in Abyss Movie: Dawn of the Deep Soul,"Adventure, Fantasy, Horror, Mystery, Sci Fi, Seinen, Curse, Dark Fantasy, Human Experimentation, Non-Human Protagonists, Orphans, Outside World, Robots, Based on a Manga, Explicit Violence,, Nudity"
Fruits Basket 1st Season,"Comedy, Drama, Fantasy, Romance, Shoujo, Animal Transformation, Contemporary Fantasy, Curse, Death of a Loved One, Dysfunctional Families, Love Triangle, Orphans, Slapstick, Based on a Manga, Bullying,, Emotional Abuse,, Mature Themes,, Physical Abuse"
Kizumonogatari Part 3: Reiketsu,"Action, Drama, Ecchi, Psychological, Supernatural, Vampires, Based on a Light Novel, Explicit Violence,, Nudity"
Dr. Stone: Stone Wars,"Adventure, Comedy, Sci Fi, Shounen, Person in a Strange World, Post-apocalyptic, Prehistoric, Survival, Based on a Manga"
My Hero Academia 4,"Action, Drama, Sci Fi, Shounen, Superheroes, Superpowers, Based on a Manga, Emotional Abuse,, Mature Themes,, Physical Abuse,, Violence"
Owarimonogatari II,"Drama, Mystery, Romance, Supernatural, Based on a Light Novel, Violence"
Great Teacher Onizuka,"Comedy, Drama, Shounen, Delinquents, School Life, Slapstick, Teaching, Work Life, Based on a Manga, Bullying,, Emotional Abuse"
Your lie in April,"Drama, Romance, Shounen, Classical Music, Illness, Melancholy, Mental Illness, Music, noitaminA, Psychological, School Life, Tournaments, Unrequited Love, Based on a Manga, Mature Themes,, Physical Abuse,, Domestic Abuse"
Bungo Stray Dogs 3rd Season,"Action, Mystery, Seinen, Supernatural, Superpowers, Based on a Manga, Mature Themes,, Suicide,, Violence"
Kamisama Kiss 2nd Season,"Comedy, Fantasy, Romance, Shoujo, Animal Characteristics, Interspecies Relationship, Japanese Mythology, Master-Servant Relationship, Non-Human Protagonists, Based on a Manga"
Violet Evergarden: Eternity and the Auto Memory Doll,"Drama, Melancholy, Based on a Light Novel"
Mob Psycho 100,"Action, Comedy, Exorcists, Overpowered Main Characters, Psychic Powers, Psychological, School Life, Supernatural, Superpowers, Based on a Manga, Violence"
"Natsume's Book of Friends Season 6 Specials","Drama, Fantasy, Shoujo, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga"
"Kuroko's Basketball 2","Shounen, Sports, Basketball, School Club, Tournaments, Based on a Manga"
"Natsume's Book of Friends Movie: Ephemeral Bond","Drama, Fantasy, Shoujo, Bodyguards, Cats, Countryside, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga"
Odd Taxi,"Drama, Mystery, Animal Protagonists, Anthropomorphic, Non-Human Protagonists, Psychological, Social Media, Original Work, Violence"
The Legend of Hei,"Action, Adventure, Fantasy, Animal Characteristics, Animal Transformation, Cats, Chinese Animation, Contemporary Fantasy, Family Friendly, Non-Human Protagonists, Urban Fantasy"
Death Note,"Mystery, Shounen, Crime, Criminals, Detectives, Mind Games, Overpowered Main Characters, Psychological, Psychopaths, Rivalries, Secret Identity, Serial Killers, Shinigami, Supernatural, Thriller, Vigilantes, Based on a Manga"
Moriarty the Patriot 2nd Season,"Mystery, Shounen, 19th Century, Detectives, England, Europe, Historical, Sherlock Holmes, Based on a Manga, Violence"
"Fate/stay night: Heaven's Feel III. spring song","Action, Fantasy, Romance, Magic, Superpowers, Based on an Eroge, Based on a Visual Novel, Mature Themes,, Suicide,, Violence"
One Piece Movie 14: Stampede,"Action, Adventure, Shounen, Pirates, Superpowers, Based on a Manga"
Kingdom 3,"Action, Drama, Seinen, Ancient China, Historical, Political, War, Based on a Manga"
One Piece,"Action, Adventure, Comedy, Fantasy, Shounen, Pirates, Superpowers, Based on a Manga"
Mushishi: Hihamukage,"Fantasy, Seinen, Countryside, Illness, Supernatural, Based on a Manga"
Tokyo Revengers,"Action, Drama, Shounen, Delinquents, Gangs, Time Travel, Based on a Manga, Mature Themes,, Suicide,, Violence"
My Hero Academia Movie 2: Heroes:Rising,"Action, Sci Fi, Shounen, Superheroes, Superpowers, Based on a Manga"
Fate/Zero 2,"Action, Fantasy, Contemporary Fantasy, Magic, Proxy Battles, Rivalries, Superpowers, Urban Fantasy, Based on a Light Novel, Violence"
My Hero Academia,"Action, Comedy, Drama, Sci Fi, Shounen, School Life, Superheroes, Superpowers, Weak to Strong, Based on a Manga, Violence"
Steins;Gate Movie: Load Region of Deja Vu,"Drama, Sci Fi, Thriller, Time Travel, Based on a Visual Novel"
KonoSuba – God’s blessing on this wonderful world! Movie: Legend of Crimson,"Comedy, Ecchi, Fantasy, Isekai, NEET, Person in a Strange World, RPG, Based on a Light Novel"
Yuri!!! on Ice,"Drama, Sports, Adult Couples, Ice Skating, Rivalries, Tournaments, Original Work"
Dou Po Cangqiong: San Nian Zhi Yao,"Action, Fantasy, Chinese Animation, Xianxia, Based on a Web Novel, CG Animation"
Dororo (2019),"Action, Adventure, Shounen, 15th Century, Curse, Dark Fantasy, Deal with the Devil, Demons, Feudal Japan, Historical, Samurai, Supernatural, War, Based on a Manga, Animal Abuse,, Explicit Violence,, Mature Themes,, Physical Abuse,, Sexual Content"
Bunny Drop,"Drama, Josei, Slice of Life, Childcare, Family Life, Iyashikei, Lifestyle Change, noitaminA, Single Parent, Based on a Manga"
Gintama: Shinyaku Benizakura-hen,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Feudal Japan, Recap, Samurai, Swordplay, Based on a Manga"
The Garden of Sinners Movie 5: Paradox Paradigm,"Drama, Mystery, Overpowered Main Characters, Supernatural, Based on a Light Novel, Explicit Violence,, Mature Themes,, Physical Abuse,, Domestic Abuse"
Bakuman. 3,"Drama, Shounen, Anime Industry, Manga Industry, Otaku Culture, Voice Acting, Writers, Based on a Manga"
The Disastrous Life of Saiki K.,"Comedy, Shounen, Slice of Life, Breaking the Fourth Wall, Gag, Psychic Powers, School Life, Short Episodes, Supernatural, Superpowers, Based on a Manga"
Given: Uragawa no Sonzai,"Music, Based on a Manga"
Black Butler: Book of the Atlantic,"Shounen, 19th Century, Butlers, Demons, Europe, Master-Servant Relationship, Non-Human Protagonists, Supernatural, Zombies, Based on a Manga, Violence"
The Boy and the Beast,"Action, Fantasy, Anthropomorphic, Coming of Age, Isekai, Japanese Mythology, Non-Human Protagonists, Person in a Strange World, Original Work"
"Miss Kobayashi's Dragon Maid S","Comedy, Fantasy, Seinen, Slice of Life, Animal Characteristics, Cohabitation, Contemporary Fantasy, Dragons, Maids, Monster Girls, Non-Human Protagonists, Reverse Isekai, Roommates, Urban Fantasy, Based on a Manga"
Kono Oto Tomare! 2nd Season,"Drama, Romance, Shounen, Music, School Club, School Life, Based on a Manga"
The Disappearance of Haruhi Suzumiya,"Drama, Sci Fi, Shounen, Psychological, Time Travel, Based on a Light Novel"
Kizumonogatari Part 2: Nekketsu,"Action, Ecchi, Psychological, Supernatural, Vampires, Based on a Light Novel, Explicit Violence"
Mushishi Zoku Shou: Suzu no Shizuku,"Fantasy, Seinen, Countryside, Forest, Iyashikei, Supernatural, Based on a Manga"
Overlord III,"Action, Fantasy, Sci Fi, Dark Fantasy, Isekai, Magic, Overpowered Main Characters, Person in a Strange World, RPG, Skeletons, Trapped in a Video Game, Virtual Reality, Based on a Light Novel"
Re:ZERO -Starting Life in Another World- Season 2: Part II,"Action, Adventure, Drama, Fantasy, Cheats, Dark Fantasy, Isekai, Magic, Person in a Strange World, Psychological, Summoned Into Another World, Thriller, Time Travel, Based on a Light Novel"
Laid-Back Camp 2nd Season,"Adventure, Comedy, Seinen, Slice of Life, Iyashikei, The Great Outdoors, Based on a Manga"
Saga of Tanya the Evil Movie,"Action, Fantasy, Guns, Isekai, Military, Person in a Strange World, Reincarnation, War, Based on a Light Novel, Violence"
Mushishi Zoku Shou: Odoro no Michi,"Fantasy, Seinen, Forest, Iyashikei, Supernatural, Based on a Manga"
The Disastrous Life of Saiki K. 3,"Comedy, Shounen, Breaking the Fourth Wall, Gag, Psychic Powers, Supernatural, Superpowers, Based on a Manga"
Hellsing Ultimate,"Action, Horror, Seinen, Conspiracy, England, Europe, Guns, Master-Servant Relationship, Non-Human Protagonists, Overpowered Main Characters, Religion, Supernatural, Vampires, Based on a Manga, Explicit Sex,, Explicit Violence,, Mature Themes,, Physical Abuse,, Sexual Abuse,, Suicide"
"Natsume's Book of Friends Season 5 Specials","Shoujo, Slice of Life, Bodyguards, Cats, Countryside, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga"
"JoJo's Bizarre Adventure Re-Edited","Action, Shounen, Hand to Hand Combat, Recap, Supernatural, Based on a Manga"
Parasyte -the maxim-,"Action, Drama, Horror, Sci Fi, Seinen, Aliens, Body Sharing, Psychological, Based on a Manga, Animal Abuse,, Bullying,, Explicit Violence,, Mature Themes"
Hikari: Be My Light,"BL, Drama, Shounen-ai, Illness, Psychological, Short Episodes, Mature Themes,, Suicide,, Self-Harm"
Ouran High School Host Club,"Comedy, Reverse Harem, Romance, Shoujo, Crossdressing, Debt, Hosts, School Club, School Life, Social Gap, Based on a Manga"
Food Wars! The Second Plate,"Comedy, Ecchi, Shounen, Cooking, Culinary School, Food and Beverage, School Life, Tournaments, Based on a Manga"
Ghost in the Shell: Stand Alone Complex 2nd Gig,"Sci Fi, Seinen, Cyberpunk, Cyborgs, Hacking, Noir, Based on a Manga"
Barakamon,"Comedy, Shounen, Slice of Life, Art, Countryside, Island, Iyashikei, Lifestyle Change, Based on a Manga"
Noragami Aragoto,"Action, Drama, Shounen, Ghosts, Gods, Japanese Mythology, Non-Human Protagonists, Supernatural, Based on a Manga, Violence"
Ace of the Diamond: Act II,"Shounen, Sports, Baseball, Tournaments, Based on a Manga"
Re:ZERO -Starting Life in Another World- Season 2,"Action, Adventure, Drama, Fantasy, Cheats, Dark Fantasy, Isekai, Magic, Person in a Strange World, Psychological, Summoned Into Another World, Thriller, Time Travel, Based on a Light Novel, Explicit Violence"
Ascendance of a Bookworm: Part II,"Drama, Fantasy, Apprenticeship, Cheats, Isekai, Magic, Medieval, Modern Knowledge, Person in a Strange World, Reincarnation, Based on a Light Novel"
