End_year,Name,Release_season,Release_year
,Date a Live III,Winter,2019
,Aoki Hagane no Arpeggio: Ars Nova Cadenza,,2015
2010,Mahou Sensei Negima! ~Mou Hitotsu no Sekai~,,2009
,Detective Conan Magic File 5: Niigata - Tokyo Omiyage Capriccio,,2011
,The Garden of Sinners: Recalled Out Summer - Extra Chorus,,2013
,"Angel Beats! Hell's Kitchen",,2015
,Himouto! Umaru-chan R,Fall ,2017
,The Eccentric Family,Summer,2013
,Is this a Zombie?,Winter,2011
,Oreimo Specials,,2011
2010,Hanasakeru Seishounen,Spring,2009
,League of Legends: Kin of the Stained Blade,,2020
1992,Ranma 1/2,,1989
,Hello World,,2019
,Angel Beats! Another Epilogue,,2010
,My Teen Romantic Comedy SNAFU OVA,,2013
2015,Ace of the Diamond OVA,,2014
2004,Macross Zero,,2002
,Ajin Movie 1: Shoudou,,2015
,takt op.Destiny,Fall ,2021
,When They Cry: Rei,,2009
,Crest of the Stars,Winter,1999
,Jewelpet Twinkle Special,,2013
,Date A Bullet: Dead or Bullet,,2020
,City Hunter Movie: Shinjuku Private Eyes,,2019
,Maria Watches Over Us Season 2,Summer,2004
2011,"Tales of Symphonia the Animation: Tethe'alla Episode",,2010
,Persona 4 the Animation: No One is Alone,,2012
,Prince of Tennis: Best Games!!,,2018
,Smile Down the Runway,Winter,2020
1995,Sailor Moon S,,1994
,Is the Order a Rabbit? Bloom,Fall ,2020
,Kakegurui XX,Winter,2019
,"Love, Chunibyo & Other Delusions! Heart Throb: The Rikka Wars",,2014
,Tonari no Seki-kun: The Master of Killing Time,Winter,2014
,"Mobile Suit Gundam: Char's Counterattack",,1988
,Toward the Terra TV,Spring,2007
,Ze Tian Ji 2nd Season,,2016
,Penguin Highway,,2018
,Blue Exorcist OVA,,2017
,Meng Qi Shi Shen 2nd Season,,2021
,Dragon Ball Z Special 1: Bardock - The Father of Goku,,1990
,Wan Jie Shenzhu 3rd Season,,2021
2022,The Faraway Paladin,Fall ,2021
,Les Miserables: Shoujo Cosette,Winter,2007
2014,"History's Strongest Disciple Kenichi OVA Specials",,2013
,Wan Jie Shenzhu 2nd Season,,2020
,ChibiReve,Spring,2021
,Ojii-san no Lamp,,2011
2020,Kiratto Pri-chan 2nd Season,Spring,2019
,Star Twinkle Pretty Cure Movie: Hoshi no Uta ni Omoi wo Komete,,2019
2020,Jian Wang 3: Xia Gan Yi Dan Shen Jianxin II,,2019
,Motto To Love Ru,Fall ,2010
2020,We Never Learn OVA,,2019
,Hetalia: The World Twinkle,Summer,2015
2006,Akagi,Fall ,2005
,"Kino's Journey: Tower Country",,2005
,Detective Conan Movie 09: Promo Special,,2005
,Comedy,,2002
,Love Live! Sunshine!! 2nd Season,Fall ,2017
,Melancholy of Haruhi-chan Suzumiya,,2009
,The Ambition of Oda Nobuna,Summer,2012
,Trinity Seven Movie: Eternal Library & Alchemic Girl,,2017
,Beyblade Burst Dynamite Battle,,2021
,Naruto Shippuden Movie 3: The Will of Fire,,2009
,ItaKiss,Spring,2008
2021,Chang’an Huan Jie,,2020
2004,Detective Academy Q,Spring,2003
,Ah! My Goddess: Fighting Wings,,2007
,Rent-A-Girlfriend,Summer,2020
,Over Drive,Spring,2007
,One Piece Movie 5: The Curse of the Sacred Sword,,2004
,Free! Movie: The Final Stroke - Zenpen,,2021
,Place to Place: Place=Princess,,2012
,Tales of Zestiria: The X (2017),Winter,2017
,"The Girl From the Other Side: Siuil, a Run OVA",,2019
2001,Ghost Stories,Fall ,2000
,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou Part 2 - Tamashii,,2017
,Danchi Tomoo: Natsuyasumi no Shukudai wa Owatta no ka yo? Tomoo,,2014
,Uta no Prince-sama: Maji Love 2000%,Spring,2013
1995,Macross Plus,,1994
,Lupin III Special 28: Prison of the Past,,2019
,"Mary and the Witch's Flower",,2017
,Recovery of an MMO Junkie Special,,2017
,The Idaten Deities Know Only Peace,Summer,2021
,Handa-kun,Summer,2016
,Detective Conan Magic File 3: Shinichi and Ran: Memories of Mahjong Tiles and Tanabata,,2009
2012,Rurouni Kenshin: New Kyoto Arc,,2011
,Fullmetal Alchemist: The Sacred Star of Milos,,2011
,Kaleido Star: New Wings ~Extra Stage~,,2004
,"Kuroko's Basketball 3: NG-shuu",,2015
,5 Centimeters per Second,,2007
,PriPara Movie: Minna de Kagayake! Kirarin☆Star Live!,,2017
,"Dragon Nest: Warriors' Dawn",,2014
,Future Diary: Redial,,2013
,Highschool of the Dead,Summer,2010
,Ajin Movie 3: Shougeki,,2016
,Non Non Biyori: Okinawa e Ikukoto ni Natta,,2014
,Pokemon Movie 23: Secrets of the Jungle,,2020
,Romeo x Juliet,Spring,2007
,Ling Long: Incarnation Special,,2021
,Aggretsuko 4,Fall ,2021
,Moonlight Mile 2nd Season - Touch down,Summer,2007
,Mayo Chiki!,Summer,2011
,White Album 2,Fall ,2013
2011,Sgt. Frog,Spring,2004
2018,Mu Wang Zhi Wang: Xuan Guan Si,,2017
1998,Giant Robo,,1992
,"Doraemon Movie 38: Nobita's Treasure Island",,2018
,The Prince of Tennis: A Gift from Atobe,,2005
,Doraemon (2005),Spring,2005
,Tokyo Ghoul: Jack,,2015
,Big Fish & Begonia,,2016
,Date a Live Movie: Mayuri Judgement,,2015
,ACCA: 13-Territory Inspection Dept.,Winter,2017
2014,Squid Girl OVA,,2012
,Doraemon Movie 37: Nobita no Nankyoku Kachi Kochi Daibouken,,2017
,Obey Me! Devildom Family Trip!,,2021
,Un-Go: Chapter of Inga,,2011
,Ling Jian Zun,,2019
,Mardock Scramble: The First Compression,,2010
,The Way of the Househusband,Spring,2021
,Shaonian Gexing 2nd Season,,2021
,Super Lovers,Spring,2016
,Puparia,,2020
2021,RabbiTube: Creator ni Challenge!,Winter,2020
,Princess Principal,Summer,2017
,Vampire Knight Guilty,Fall ,2008
,Hetalia: The Beautiful World Extra Disc,,2014
,Fullmetal Alchemist: Premium Collection,,2006
,After the Rain,Winter,2018
,Cowboy Bebop Session XX: Mish-Mash Blues,,1998
,Restaurant to Another World,Summer,2017
,Jing: Shuang Cheng,,2020
,Thunderbolt Fantasy,Summer,2016
,Initial D Extra Stage 2: Tabidachi no Green,,2008
,"Assassination Classroom The Movie: 365 Days' Time",,2016
,Air Gear,Spring,2006
,Dragon Ball Z Movie 12: Fusion Reborn,,1995
,Hitoribocchi no OO Seikatsu,Spring,2019
,Noblesse: Pamyeol-ui Sijak,,2015
,BanG Dream! Girls Band Party! Pico: Ohmori,Spring,2020
,Blend S,Fall ,2017
,Detective Conan: Hiiro no Fuzai Shoumei,,2021
,The Wind Guardians,,2018
,Trinity Seven OVA,,2015
,Looking Up At the Half-Moon,Winter,2006
,Doraemon Movie 36: Nobita at the Birth of Japan (2016),,2016
,Shi Zhi Ge: Hua yu Yan de Kuangxiang Shi,,2020
,InuYasha The Movie 4: Fire on the Mystic Island,,2004
2003,Hungry Heart: Wild Striker,Fall ,2002
2008,Kyo Kara Maoh! R,,2007
,Magic-Kyun! Renaissance,Fall ,2016
,Blood Lad,Summer,2013
,Tsubasa Reservoir Chronicle,Spring,2005
,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou Part 3 - Yakusoku,,2017
,D-Frag!,Winter,2014
,How NOT to Summon a Demon Lord,Summer,2018
,One Week Friends,Spring,2014
,Fullmetal Alchemist: Reflections,,2005
,Detective Conan: Time Travel of the Silver Sky,,2004
,Tsugumomo 2,Spring,2020
2021,Feng Ling Yu Xiu,,2017
,Kaze no You ni,,2016
,Joker 4,Fall ,2016
2015,Gugure! Kokkuri-san Specials,,2014
2015,Gargantia on the Verdurous Planet: Far Beyond the Voyage,,2014
,DAOKO x Kenshi Yonezu: Uchiage Hanabi,,2017
1987,Touch,,1985
,Antidote,,2020
,"Dragon Ball Z Kai: Bring Peace to the Future! Goku's Spirit is Eternal",,2011
,"Heaven's Lost Property",Fall ,2009
,K: Seven Stories Movie 6 - Circle Vision ~Nameless Song~,,2018
,Tamayura: Sotsugyou Shashin Movie 3 - Akogare,,2015
,Date a Live II,Spring,2014
2021,Beyblade Burst Surge,Spring,2020
2010,Tegami Bachi: Letter Bee,Fall ,2009
2019,Hugtto! Pretty Cure,Winter,2018
2018,Hitori no Shita: The Outcast 2,Fall ,2017
,Gugure! Kokkuri-san,Fall ,2014
2020,Golden Kamuy Season 2 OVA,,2019
2010,Hetalia: Axis Powers,Winter,2009
,Mobile Suit Gundam 00 The Movie: A Wakening of the Trailblazer,,2010
2014,Ghost Messenger,,2010
,Ajin: Demi-Human,Winter,2016
,Daughter of Twenty Faces,Spring,2008
,"Haven't You Heard? I'm Sakamoto",Spring,2016
,Lu Over the Wall,,2017
2014,Toriko TV,Spring,2011
,Pui Pui Molcar,Winter,2021
,Ze Tian Ji 3rd Season,,2017
,Noblesse,Fall ,2020
,Banner of the Stars,Spring,2000
,Detective Conan Magic File 6: Fantasista Flower,,2012
,Kabaneri of the Iron Fortress Part 2: Life That Burns,,2017
,Shirobako Movie,,2020
2017,Qin Shi Mingyue: Junlin Tianxia,,2014
,Digimon Adventure Movie 2: Bokura no War Game,,2000
,Kaze no Stigma,Spring,2007
2008,Kekkaishi,Fall ,2006
1980,Mobile Suit Gundam,,1979
,Daicon IV Opening Animation,,1983
,Kyousougiga,Fall ,2013
,Prison School,Summer,2015
,Nanbaka: Idiots with Student Numbers!,,2017
2020,Ahiru no Sora,Fall ,2019
,Sabikui Bisco,Winter,2022
,Dusk Maiden of Amnesia: Ghost Girl,,2012
,"If It's for My Daughter, I'd Even Defeat a Demon Lord",Summer,2019
,Tales of Zestiria: The X,Summer,2016
,Panty & Stocking with Garterbelt,Fall ,2010
,Honey and Clover,Spring,2005
,Nodame Cantabile OVA,,2009
2018,Yuuki Yuuna is a Hero: The Hero Chapter,Fall ,2017
,Teasing Master Takagi-san OVA,,2018
,Detective Conan: Black History,,2007
2004,Chrono Crusade,Fall ,2003
,Wandering Witch: The Journey of Elaina,Fall ,2020
,Raiyantsuuri no Uta,,1994
,Urusei Yatsura Movie 2: Beautiful Dreamer,,1984
,Hayate the Combat Butler!! OVA,,2009
,InuYasha The Movie 1: Affections Touching Across Time,,2001
,Uta no Prince-sama: Maji Love Legend Star,Fall ,2016
,One Piece Film: Gold ~Episode 0~ 711 ver.,,2016
,Serial Experiments Lain,Summer,1998
,Banner of the Stars: Tokubetsu Hen,,2001
,Slam Dunk Movie 3,,1995
,Memories,,1995
,Uta no Prince Sama: Maji Love Kingdom,,2019
,We Never Learn,Spring,2019
,Hakkenden: Eight Dogs of the East,Winter,2013
,You Yao,,2020
,Initial D Extra Stage,,2001
,Dragon Ball Super: Broly - Skytree Super,,2018
,Fox Spirit Matchmaker Season 3,,2016
2020,Ni Zai Xingguang Shenchu,,2019
,Mardock Scramble: The Third Exhaust,,2012
,"Problem Children Are Coming From Another World, Aren't They? OVA",,2013
,Engaged to the Unidentified,Winter,2014
1999,Getter Robo Armageddon,,1998
,Meiji Tokyo Renka,Winter,2019
,Kimagure Orange Road: I Want to Return to That Day,,1988
1997,Baby & Me,,1996
1989,Gunbuster,,1988
2011,Black Butler 2 Specials,,2010
,Slayers Evolution-R,Winter,2009
,Hakata Tonkotsu Ramens,Winter,2018
,Tsuritama,Spring,2012
,Ajin Movie 2: Shoutotsu,,2016
,Dragon Ball: Episode of Bardock,,2011
2007,Shounen Onmyouji,Fall ,2006
2016,World Trigger,Fall ,2014
2017,PriPara 3,Spring,2016
,"Chi's Sweet Home OVA",,2010
,Harlock: Space Pirate,,2013
,Tanaka-kun is Always Listless Specials,,2016
,Seirei Gensouki: Spirit Chronicles,Summer,2021
,Sailor Moon R: The Movie,,1993
,"One Piece Movie 7: Karakuri Castle's Mecha Giant Soldier",,2006
2002,Shaman King,Summer,2001
2020,Jintian Kaishi Zuo Mingxing,,2019
,Blue Spring Ride: Unwritten,,2014
2010,Shakugan no Shana S,,2009
,Afro Samurai: The Movie,,2007
,ORESUKI: Are you the only one who loves me?,Fall ,2019
,O Maidens in Your Savage Season,Summer,2019
,Cardcaptor Sakura: The Movie,,1999
,The Case Files of Jeweler Richard,Winter,2020
,Revolutionary Girl Utena,Spring,1997
,Samurai 7,Summer,2004
,Eve: As You Like It,,2017
,Giant Killing,Spring,2010
,"Haganai: I Don't Have Many Friends",Fall ,2011
,Moyashimon,Fall ,2007
,Tonari no Seki-kun: The Master of Killing Time Specials,,2014
,BanG Dream! FILM LIVE,,2019
,Boarding School Juliet,Fall ,2018
,Fire-and-Ice Magic Cookery,,2021
,Waiting in the Summer,Winter,2012
,Mu Wang Zhi Wang: Qilin Jue,,2016
2012,Is this a Zombie? OVA,,2011
,Mind Game,,2004
,Jiutain Yuan Di Jue,,2021
,"Momoko, Kaeru no Uta ga Kikoeru yo.",,2003
,Minami-ke Omatase,,2012
2015,Pokemon XY: Mega Evolution,,2014
2017,Kubikiri Cycle: Aoiro Savant to Zaregototsukai,,2016
,Uzaki-chan Wants to Hang Out!,Summer,2020
,Kuuchuu Buranko,Fall ,2009
,Slam Dunk Movie 2,,1994
,One Piece Special 3: Protect! The Last Great Stage,,2003
2011,Inazuma Eleven,Fall ,2008
,Emma: A Victorian Romance,Spring,2005
2021,Mr. Osomatsu 3rd Season,Fall ,2020
,GANTZ:O,,2016
,Aoi Bungaku Series,Fall ,2009
2012,Hellsing: The Dawn,,2011
,Love Live! Nijigasaki High School Idol Club,Fall ,2020
2009,My Bride is a Mermaid OVA Special,,2008
,Tales of Zestiria: Dawn of the Shepherd,,2014
2013,High School DxD OVA,,2012
,Lupin III Special 14: Episode 0 - First Contact,,2002
,Otome Youkai Zakuro,Fall ,2010
,Deadman Wonderland,Spring,2011
,Dragon Nest: Throne of Elves,,2016
,"Chio's School Road",Summer,2018
,Haiyore! Nyaruko-san F,,2015
,"Shounen Maid: Women Should Be Brave, and Men Should Be Winsome?",,2016
,Tamayura: Sotsugyou Shashin Movie 2 - Hibiki,,2015
,Kiznaiver,Spring,2016
,Attack on Titan in the Dome: Heishi-tachi no Hoshizora,,2017
,Love Live! School Idol Project,Winter,2013
,Beyond the Boundary: Yakusoku no Kizuna,,2015
,Naruto Shippuden OVA: Sage Naruto vs Sasuke,,2011
,The Demon Girl Next Door,Summer,2019
,Trinity Seven,Fall ,2014
,Naruto Shippuden Movie 1,,2007
,Princess Connect! Re: Dive Season 2,Winter,2022
,"Youko Takahashi: The Cruel Angel's Thesis",,2018
,Hibike! Euphonium Movie 2: Todoketai Melody,,2017
,Li Linke de Xiao Guaner,,2021
,Chibi Maruko-chan: Watashi no Suki na Uta,,1992
,K: Seven Stories Movie 1 - R:B ~Blaze~,,2018
,Deca-Dence,Summer,2020
,Days,Summer,2016
2010,To Love Ru OVA,,2009
,Fate/Kaleid Liner Prisma Illya 3rei!!,Summer,2016
,My Little Goat,,2018
1999,Master Keaton,Fall ,1998
,K: Seven Stories Movie 2 - SIDE:BLUE ~Sirius~,,2018
1997,Shonan Junai Gumi,,1994
,Nintama Rantarou: Dokutake Onsen no Dan,,2007
,Horizon in the Middle of Nowhere II,Summer,2012
,Tenchi Universe,Spring,1995
2020,Star Twinkle Pretty Cure,Winter,2019
,Mi Yu Xingzhe,,2018
,Aggretsuko: We Wish You a Metal Christmas,Fall ,2018
,Sayonara Zetsubou Sensei Jo: Zoku Zetsubou Shoujo Senshuu,,2008
,Towanoquon Movie 1: The Ephemeral Petals,,2011
,Arte,Spring,2020
,"Kiss Him, Not Me",Fall ,2016
,Re:Creators,Spring,2017
,School Rumble San Gakki,,2008
,White Snake 2: Green Snake,,2021
,Sugar Bunnies: Taisetsu na Tomodachi e...,,2007
2009,Ga-Rei-Zero,Fall ,2008
,Jian Wang 3: Xia Gan Yi Dan Shen Jianxin,,2018
,Lupin III Special 22: The Last Job,,2010
,Is the Order a Rabbit?? ~Dear My Sister~,,2017
,My Hero Academia Movie: Two Heroes Picture Drama,,2019
2015,Gundam Build Fighters Try,Fall ,2014
2012,Tales of Symphonia the Animation: The United World Episode,,2011
,"You're Under Arrest! Fast & Furious",Spring,2001
,Sound of the Sky Specials,,2010
,Heroic Age,Spring,2007
,Fist of the North Star: Legend of Raoh - Fierce Fight,,2007
,Towanoquon Movie 2: Dancing Orchard in Chaos,,2011
,Dragon Ball Z Movie 8: Broly - The Legendary Super Saiyan,,1993
,Ah! My Goddess: The Movie,,2000
2013,Girls und Panzer,Fall ,2012
,The Dragon Dentist (2017),,2017
,Ani ni Tsukeru Kusuri wa Nai!,Spring,2017
,Yashahime: Princess Half-Demon - The Second Act,Fall ,2021
,Zombie Land Saga,Fall ,2018
,Naruto Shippuden Movie 2: Bonds,,2008
,REBORN! Mr. Rebokku no Ciao Ciao Interview,,2010
,In the Land of Leadale,Winter,2022
,Date a Live: Date to Date,,2013
,The Prince of Tennis Movie 1: Two Samurai - The First Game,,2005
,Hakuouki: Dawn of the Shinsengumi,Summer,2012
,"One Piece Special 1: Adventure in the Ocean's Navel",,2000
,Btooom!,Fall ,2012
,Inazuma Eleven GO: Kyuukyoku no Kizuna Gryphon,,2011
,Lupin III Special 9: Island of Assassins,,1997
,The Seven Deadly Sins Movie 2: Cursed by Light,,2021
,"You're Under Arrest! OVA",,1994
2015,Alice in Borderland,,2014
,BanG Dream! Girls Band Party! Pico,Summer,2018
,Valvrave the Liberator 2,Fall ,2013
,Hidamari Sketch Specials,,2007
,"One Piece Special 2: Open Upon the Great Sea! A Father's Huge, HUGE Dream!",,2003
,Aoharu x Machinegun,Summer,2015
,Isekai Izakaya: Japanese Food From Another World,Spring,2018
2006,Blood+,Fall ,2005
,Makafushigi,,2021
2009,Tentai Senshi Sunred,Fall ,2008
1971,Ashita no Joe,,1970
2007,"La Corda D'Oro ~primo passo~",,2006
,Servamp Movie: Alice in the Garden,,2018
2021,Wo Shi Da Shenxian,,2020
,Tanaka-kun wa Kyou mo Kedaruge,Spring,2016
,Konohana Kitan,Fall ,2017
2016,Go! Princess Pretty Cure,Winter,2015
,Heartcatch Pretty Cure! Movie: Hana no Miyako de Fashion Show… desu ka!?,,2010
,Mobile Suit Gundam 0080: War in the Pocket,,1989
2016,Kindaichi Shounen no Jikenbo Returns (2015),Fall ,2015
2014,Pretty Rhythm: Rainbow Live,Spring,2013
,Fate/stay night: Unlimited Blade Works 2 - Sunny Day,,2015
,Lupin III Special 15: Operation Return the Treasure,,2003
,Akashic Records of Bastard Magic Instructor,Spring,2017
,Hourou Musuko,Winter,2011
,Psycho-Pass SS: Case. 1 - Tsumi to Batsu,,2019
,Digimon Adventure Tri. Movie 6: Future,,2018
2008,Freedom,,2006
,Aikatsu Stars! The Movie,,2016
,Sankarea,Spring,2012
,Amagami SS+,Winter,2012
,Hololive Alternative PV,,2021
,Sailor Moon S: The Movie,,1994
,Accel World,Spring,2012
,Fairy Tail x Rave,,2013
,Gokusen,Winter,2004
,Psychic Detective Yakumo,Fall ,2010
,Flying Witch,Spring,2016
,Beautiful Bones: Sakurako’s Investigation,Fall ,2015
,One Piece Movie 8: The Desert Princess and the Pirates - Adventures in Alabasta,,2007
,Encouragement of Climb 3,Summer,2018
,Saiyuki Reload Gunlock,Spring,2004
,Shakugan no Shana OVA,,2006
,Final Fantasy VII: Last Order,,2005
,Sword Art Online II,Summer,2014
,RE-MAIN,Summer,2021
2008,Shugo Chara!,Fall ,2007
,Planetarian,Summer,2016
,Eve: Dramaturgy,,2017
,Eve: Kokoro Yohou,,2020
,"Omoi, Omoware, Furi, Furare",,2020
,The Asterisk War (2016),Spring,2016
,Ranma 1/2 OVA: Chou Musabetsu Kessen! Ranma Team VS Densetsu no Houou,,1994
,Magical Sisters Yoyo & Nene,,2013
,Touken Ranbu: Hanamaru ~Makuai Kaisouroku~,,2017
,Mei and the Baby Cat Bus,,2001
,Wan Jie Shenzhu,,2019
1996,Fushigi Yugi: The Mysterious Play,,1995
,The Vision of Escaflowne,Spring,1996
,Fist of the North Star: Legend of Kenshiro,,2008
,Black Butler 2,Summer,2010
,Expelled From Paradise,,2014
,Final Fantasy VII: Advent Children - Venice Film Festival Footage,,2005
2008,Neuro: Supernatural Detective,Fall ,2007
2005,Mobile Suit Gundam SEED Destiny,Fall ,2004
,Cells at Work! The Common Cold,,2018
1988,City Hunter,,1987
,The Troubled Life of Miss Kotoura,Winter,2013
,Hourou Musuko Specials,,2011
,Ninja Scroll,,1993
2019,Strike the Blood III,,2018
,Forest of Piano,Spring,2018
,Oshin,,1984
,Future Diary OVA,,2010
,One Piece: Straw Hat Theater,,2006
2016,Seraph of the End: Battle in Nagoya Specials,,2015
2019,Fei Ren Zai,,2018
,Tales of Zestiria: The X - Age of Chaos,,2016
,Fate/Grand Order -Divine Realm of the Round Table: Camelot- Paladin; Agateram,,2021
,Squid Girl,Fall ,2010
,One Piece: Adventure of Nebulandia,,2015
,Yowamushi Pedal: Re:GENERATION,,2017
,Food Wars! Jump Festa 2015 Special,,2015
,Tenchi The Movie: Tenchi Muyo! In Love,,1996
,"Lord El-Melloi II's Case Files {Rail Zeppelin} Grace note - Special Edition",,2021
2017,Monster Musume OVA,,2016
,Drifters OVA,,2018
2014,"You're Being Summoned, Azazel OVA",,2010
,Hello!! KINMOZA!,Spring,2015
,Ghost in the Shell: The New Movie,,2015
,Minami-ke Natsuyasumi,,2013
,Renjian Zui Deyi,,2021
,Xixing Ji,,2018
,Ah! My Goddess TV Specials,,2005
,Talentless Nana,Fall ,2020
2004,Uninhabited Planet Survive,Fall ,2003
,"High School DxD NEW: Oppai, Tsutsumimasu!",,2015
,The Melancholy of Haruhi Suzumiya (2009),Spring,2009
,Yamada-kun and the Seven Witches PV,,2013
2018,Ling Yu 4th Season,,2017
,Crest of the Stars: Tokubetsu Hen,,2000
,Honkai Impact 3rd: Seele,,2019
,Mardock Scramble: The Second Combustion,,2011
,Girls und Panzer: Dai 63 Kaisen Shadou Zenkoku Koukousei Taikai,Fall ,2017
,On Your Mark,,1995
,A Certain Scientific Accelerator,Summer,2019
,Girl,,2015
,Majo Minarai wo Sagashite,,2020
,Carnival Phantasm: EX Season,,2011
,Galaxy Express 999 Movie,,1979
,Slayers Revolution,Summer,2008
2004,Cromartie High School,Fall ,2003
,Ranma 1/2: The Movie 2 - Nihao My Concubine,,1992
1997,Ganba Fly High,,1996
,Nodame Cantabile: Special Lesson,,2008
,Tistou Midori no Oyayubi,,1990
,Xixing Ji Zhi Zaijian Wukong,,2020
2004,Read Or Die TV,Fall ,2003
,Mobile Suit Gundam SEED Destiny Final Plus: The Chosen Future,,2005
,Chobits,Spring,2002
,Fox Spirit Matchmaker Season 9,,2020
,Hakumei and Mikochi,Winter,2018
2005,Monkey Punch: Manga Katsudou Daishashin,Summer,2004
2020,Mu Wang Zhi Wang: You Du Zhan,,2019
1983,The Mysterious Cities of Gold,,1982
,Jubing Chang Cheng Chuan,,2019
,BanG Dream! 2nd Season,Winter,2019
,Hakuouki: Demon of the Fleeting Blossom,Spring,2010
,Dubu Xiaoyao,,2020
,Lupin III Special 23: Blood Seal of the Eternal Mermaid,,2011
,Mobile Suit Gundam III: Encounters in Space,,1982
2006,The Law of Ueki,Spring,2005
1997,Boys Over Flowers,,1996
,Ah! My Goddess: Flights of Fancy Specials,,2007
,Gabriel Dropout,Winter,2017
,Senryu Girl,Spring,2019
,Danganronpa: The Animation,Summer,2013
2006,Kyo Kara Maoh!,Spring,2004
,Poyopoyo,Winter,2012
,Slayers Gorgeous,,1998
,Nichijou: My Ordinary Life Episode 0,,2011
,"Devils' Line: Anytime Anywhere",,2018
,Prison School OVA,,2016
,Minami-ke Okawari,Winter,2008
,Wo Shi Jiang Xiaobai OVA,,2018
,Tokyo Ghoul: Pinto,,2015
,Persona 5 the Animation: Stars and Ours,,2019
1989,Saint Seiya: Knights of the Zodiac,,1986
,Digimon Adventure Tri. Movie 5: Coexistence,,2017
,When They Cry: Higurashi - Nekogoroshi-hen,,2007
,Hifuu Katsudou Kiroku: The Sealed Esoteric History,,2015
,SHIMONETA: A Boring World Where the Concept of Dirty Jokes Doesn’t Exist,Summer,2015
,Slayers Return,,1996
,Jujutsu Kaisen (2018),,2018
,Sekirei: Pure Engagement Special,,2010
,Nintama Rantarou Movie,,1996
2006,Honey and Clover Specials,,2005
,Detective Conan OVA 7: A Challenge from Agasa,,2007
1994,"JoJo's Bizarre Adventure",,1993
,Dimension W,Winter,2016
,"PriPara Movie: Minna no Akogare♪ Let's Go☆Prix Paris",,2016
,Hello WeGo!,,2019
,Hyouka: What Should Be Had,Summer,2012
,Lupin III: Farewell to Nostradamus,,1995
,Tenchi Muyo! The Night Before The Carnival,,1993
2019,Inazuma Eleven: Orion no Kokuin,Fall ,2018
,Wolf Girl and Black Prince OVA,,2015
,"DOTA: Dragon's Blood",Winter,2021
,Gokudo,Spring,1999
,Edens Zero,Spring,2021
,Saekano: How to Raise a Boring Girlfriend,Winter,2015
,Slam Dunk Movie 1,,1994
,"JoJo's Bizarre Adventure (2000)",,2000
,Birdy the Mighty: Decode,Summer,2008
,Room Camp: Sauna to Gohan to Sanrin Bike,,2020
,Ling Yu 5th Season,,2017
1994,Sailor Moon R,,1993
,"Kuroko's Basketball: Oshaberi Demo Shimasen ka",,2014
,Arcadia of My Youth,,1982
1999,Slayers Excellent,,1998
,Maoyu: Archenemy & Hero,Winter,2013
2021,Youkai Gakuen Y: N to no Souguu,Fall ,2019
,Xixing Ji 3rd Season,,2021
,"Yuru Yuri,",,2019
,Dinghai Fusheng Lu,,2021
,Mitsudomoe,Summer,2010
2019,"Today's Menu for Emiya Family",Winter,2018
,Tiger & Bunny the Movie: The Beginning,,2012
,Violet Evergarden PV,,2016
,Lupin III Special 10: Crisis in Tokyo,,1998
1996,Black Jack OVA,,1993
,Balgwanghaneun Hyeondaesa,,2014
,City Hunter: Goodbye My Sweetheart,,1997
2013,Inazuma Eleven GO: Chrono Stone,Spring,2012
,7 Seeds 2nd Season,Winter,2020
,Sailor Moon Super S: The Movie,,1995
2006,Gunbuster 2,,2004
,Sayonara Zetsubou Sensei Jo: Zetsubou Shoujo Senshuu,,2008
,FLIP FLAPPERS,Fall ,2016
,Midnight occult civil servants Specials,,2019
,Hal,,2013
,Slayers Great,,1997
,Zoids: New Century/Zero,Winter,2001
2016,PriPara 2,Spring,2015
,Laughing Under the Clouds Gaiden: Movie 3,,2018
,"Listen to Me Girls, I'm Your Father!",Winter,2012
1992,Chibi Maruko-chan,,1990
,Hakuouki OVA,,2021
,Mob Psycho 100 Reigen: The Miraculous Unknown Psychic,,2018
,Strike Witches 2,Summer,2010
2017,Shuangsheng Ling Tan,,2016
,Detective Conan OVA 2: 16 Suspects,,2002
,Pokemon Movie 20: I Choose You!,,2017
1996,Saint Tail,Fall ,1995
2020,The Seven Deadly Sins: Imperial Wrath of the Gods,Fall ,2019
,Wangu Xian Qiong II,,2018
,Sugar Bunnies Chocolate! Specials,,2010
2019,Pucca: Love Recipe,,2018
2008,Shion no Ou,,2007
,Medaka Box Abnormal,Fall ,2012
2021,D4DJ First Mix,Fall ,2020
,Space Battleship Yamato 2199: Tsuioku no Koukai,,2014
2005,Legend of the Condor Hero II,,2004
,Saiyuki Requiem,,2001
2015,Pokemon XY,Fall ,2013
,Sayonara Zetsubou Sensei Blu-ray Box Special,,2012
,Days OVA,,2017
,Lord Marksman and Vanadis,Fall ,2014
1995,Thunder Jet,,1994
,Ling Yu 3rd Season,,2016
,Caramel Honey,,2018
,Library War,Spring,2008
2015,Yamada-kun and the Seven Witches OVA,,2014
,"Kuroko's Basketball: Oshaberi Shiyokka",,2012
,Grimoire of Zero,Spring,2017
,Atashinchi Movie,,2003
2003,Ojamajo Doremi DOKKAAN!,Winter,2002
1995,Mahoujin Guru Guru,,1994
,"New Kimagure Orange Road: Summer's Beginning",,1996
