anime_id,age_rating,age_rating_guide,average_rating,description,episode_count,episode_length,kind,poster_image,season,studio,tags,title,title_jp,total_length,year,year_end
10,R,Mild Nudity,82.33,"Dr. Kenzou Tenma is a renowned brain surgeon of Japanese descent working in Europe. Highly lauded by his peers as one of the great young minds that will revolutionize the field, he is blessed with a beautiful fiancée and is on the cusp of a big promotion in the hospital he works at. But all of that is about to change with a grave dilemma that Kenzou faces one night—whether to save the life of a small boy or that of the town's mayor. Despite being pressured by his superiors to perform surgery on the mayor, his morals force him to perform the surgery on the other critical patient, saving his life and forfeiting the mayor's. A doctor is taught to believe that all life is equal; however, when a series of murders occur in the surgeon's vicinity, all of the evidence pointing to the boy he saved, Kenzou's beliefs are shaken. Along his journey to unravel the true identity of his little patient, Kenzou discovers that the fate of the world may be intertwined with the mysterious child.
[Written by MAL Rewrite]",74,24,TV,https://media.kitsu.io/anime/poster_images/10/original.jpg?1597696803,Spring,MADHOUSE,"Drama, Mystery, Seinen, Conspiracy, Crime, Doctors, Europe, Framed for a Crime, Germany, Medical, Noir, Psychological, Psychopaths, Revenge, Serial Killers, Thriller, Based on a Manga, Mature Themes,, Domestic Abuse",Monster,モンスター,1776,2004,2005
342,G,All Ages,78.86,"Haru Yoshioka is your ordinary high school girl who has trouble making decisions for herself. One day, she spots a strange cat crossing the road with a small present... and a truck headed straight for it! Haru doesn’t even stop to think before jumping in front of the truck and getting them both to safety.
This one selfless act initiates a chain of events that sends Haru on an epic adventure. The cat she saved turns out to be no ordinary feline, but Lune, Prince of the Cats. In honour of her bravery and for saving his life, he offers to marry her. Haru mutters a reply which is taken to be a ""yes"", and for better or for worse, her fate is sealed. 
Alongside her cat companions Muta and the Baron, she's aided from above by a raven named Toto, and must travel to the cat world in order to rectify this misunderstanding. Her journey is tougher than it seems: If she cannot escape from the claws of the King of the Cats and find her true self, she will be turned into a cat forever.
Haru may start off as an everyday girl, but after her descent into the world of cats, she returns a different beast entirely.",1,75,movie,https://media.kitsu.io/anime/poster_images/552/original.jpg?1597697127,,Studio Ghibli,"Fantasy, Animal Protagonists, Animal Transformation, Anthropomorphic, Cats, Contemporary Fantasy, Family Friendly, Non-Human Protagonists, Based on a Manga",The Cat Returns,猫の恩返し,75,2002,
11,PG,Teens 13 or older,79.24,"Moments prior to Naruto Uzumaki's birth, a huge demon known as the Kyuubi, the Nine-Tailed Fox, attacked Konohagakure, the Hidden Leaf Village, and wreaked havoc. In order to put an end to the Kyuubi's rampage, the leader of the village, the Fourth Hokage, sacrificed his life and sealed the monstrous beast inside the newborn Naruto.
Now, Naruto is a hyperactive and knuckle-headed ninja still living in Konohagakure. Shunned because of the Kyuubi inside him, Naruto struggles to find his place in the village, while his burning desire to become the Hokage of Konohagakure leads him not only to some great new friends, but also some deadly foes.
[Written by MAL Rewrite]",220,23,TV,https://media.kitsu.io/anime/poster_images/11/original.jpg?1597698839,Fall ,Pierrot,"Action, Drama, Shounen, Japanese Mythology, Ninja, Revenge, Rivalries, Based on a Manga",Naruto,ナルト,5060,2002,2007
12,PG,Teens 13 or older,82.68,"Gol D. Roger was known as the ""Pirate King,"" the strongest and most infamous being to have sailed the Grand Line. The capture and death of Roger by the World Government brought a change throughout the world. His last words before his death revealed the existence of the greatest treasure in the world, One Piece. It was this revelation that brought about the Grand Age of Pirates, men who dreamed of finding One Piece—which promises an unlimited amount of riches and fame—and quite possibly the pinnacle of glory and the title of the Pirate King.
Enter Monkey D. Luffy, a 17-year-old boy who defies your standard definition of a pirate. Rather than the popular persona of a wicked, hardened, toothless pirate ransacking villages for fun, Luffy’s reason for being a pirate is one of pure wonder: the thought of an exciting adventure that leads him to intriguing people and ultimately, the promised treasure. Following in the footsteps of his childhood hero, Luffy and his crew travel across the Grand Line, experiencing crazy adventures, unveiling dark mysteries and battling strong enemies, all in order to reach the most coveted of all fortunes—One Piece.
[Written by MAL Rewrite]",35,24,TV,https://media.kitsu.io/anime/poster_images/12/original.png?1597699104,Fall ,Toei Animation,"Action, Adventure, Comedy, Fantasy, Shounen, Pirates, Superpowers, Based on a Manga",One Piece,ONE PIECE,840,1999,
13,PG,Teens 13 or older,77.85,"The world of tennis is harsh and highly competitive. Numerous schools from Japan battle it out to determine the best of the best. 
Seishin Gakuen Junior High School, more commonly known as Seigaku, is one of the most prominent contestants in this battle of the finest. Their team line-up gets even stronger with the sudden arrival of a young prodigy from the West, Ryouma Echizen, who is determined to prove himself and escape the towering shadow of his legendary father. This fine addition changes the team forever.Prince of Tennis follows the heartwarming and inspirational story of Ryouma on his quest to become one of the best tennis players the country has ever seen. He pushes himself hard so that he can one day surpass his father’s name and his own personal expectations. Alongside the rest of the Seigaku team, Ryouma fights to make his and his teammate's dreams come true.",178,22,TV,https://media.kitsu.io/anime/poster_images/13/original.jpg?1597604267,Fall ,Production I.G,"Comedy, Drama, Shounen, Sports, Tennis, Based on a Manga",The Prince of Tennis,テニスの王子様,3916,2001,2005
14,PG,Children,66.89,"In order to fulfill their dead father's wish, the siblings, Takane Kiku and Takane Ryuji aims for the champopn title of the boxing arena. The sister, Kiku, will act as the trainer while her brother, Ryuji, will concentrate on the role of the boxer and learn the Boomerang. His battle with many rivals has led to the growth and maturity of Ryuji. The junior high boxing tournament has began and Ryuji will be fighting with his arch-rival, Kenzaki Jun. The battle begins.
(Source: ANN)",12,18,TV,https://media.kitsu.io/anime/poster_images/14/original.jpg?1597691292,Fall ,Toei Animation,"Action, Shounen, Sports, Boxing, Hand to Hand Combat, Based on a Manga",Ring ni Kakero 1,リングにかけろ１,216,2004,
15,PG,Teens 13 or older,78.74,"Just the words ""I love you,"" and everything changes—such is the nature of the bittersweet trials of high school romance. Tenma Tsukamoto, a second year, is on a quest to confess her feelings to the boy she likes. Kenji Harima, a delinquent with a sizable reputation, is in a similar situation, as he cannot properly convey his feelings to the one he loves. Between school, friends, rivalries, and hobbies, these two will find that high school romance is no walk in the park, especially as misunderstandings further complicate their plight.School Rumble is a high-octane romantic comedy full of relatable situations, as Tenma and Kenji both try to win the hearts of those they desire.
[Written by MAL Rewrite]",26,23,TV,https://media.kitsu.io/anime/poster_images/15/original.jpg?1597699268,Fall ,Studio Comet,"Comedy, Romance, Shounen, Delinquents, Episodic, Gag, Love Triangle, Romantic Comedy, School Life, Unrequited Love, Based on a Manga",School Rumble,スクールランブル,598,2004,2005
2212,G,All Ages,63.28,Animals gather to compete in Olympic games. This animation was inspired by the 1928 Olympic Games held in Amsterdam.,1,5,movie,https://media.kitsu.io/anime/poster_images/5003/original.jpg?1408454069,,,"Sports, Animal Protagonists, Black and White, No Dialogue, Non-Human Protagonists, Shorts",Doubutsu Olympic Taikai,動物オリムピック大會,5,1928,
16,R,"Violence, Profanity",72.27,"In the future, Japan is a wasteland. In the Great Kantou Desert, scattered humans seek out a living in the hot sand. Among them, a short-statured man they call ""Sunabouzu"" makes a living as a bounty hunter. Like a demon of the sand, he seems unbeatable. Yet, like all men, he has a particular weakness for the opposite sex...

(Source: ANN)",24,24,TV,https://media.kitsu.io/anime/poster_images/16/original.jpg?1597698816,Fall ,GONZO,"Comedy, Ecchi, Sci Fi, Seinen, Bounty Hunters, Desert, Guns, Post-apocalyptic, Based on a Manga",Desert Punk,砂ぼうず,576,2004,2005
17,R,Mild Nudity,77.02,"Cult-favorite Yoshitoshi ABe tempts us to witness man's downward spiral in a future overrun by violence, greed, and depravity. After Ichise loses an arm and leg, he's equipped with experimental robotic limbs against his will. When an army of men transformed into terrifying machines invades his city, Ichise rages against humanity's demise—but can his actions actually be the catalyst?

(Source: Funimation)",22,23,TV,https://media.kitsu.io/anime/poster_images/17/original.jpg?1597691226,Spring,MADHOUSE,"Sci Fi, Cyberpunk, Dystopia, Noir, Psychological, Original Work, Mature Themes,, Physical Abuse,, Sexual Abuse,, Violence",Texhnolyze,TEXHNOLYZE,506,2003,
18,R,"Violence, Profanity",71.82,"The background is in the distant future after the destruction brought about by Armageddon. The war between the vampires and the humans continue to persist. In order to protect the humans from the vampires, the Vatican has to rely on other allies to counter the situation. The protagonist,  Abel Nightroad, is a traveling priest from the Vatican and a crusnik, a vampire that drinks the blood of vampires. He is a member of the ""Ax"", a special operations group led by Cardinal Catherina Sforza. He encounters a young girl called Esther, who decides to go with him to Rome and train at the Vatican. Soon after he meets her, the order of Rozencreuz, led by Abel's twin, Cain, tries to continue the war so they can rule the world. It's up to Abel and the AX to try and stop them.",24,24,TV,https://media.kitsu.io/anime/poster_images/18/original.jpg?1597698191,Spring,GONZO,"Action, Sci Fi, Episodic, Post-apocalyptic, Religion, Supernatural, Vampires, Based on a Light Novel, Violence",Trinity Blood,トリニティ・ブラッド,576,2005,
19,PG,Teens 13 or older,77.80,"Yakitate means ""fresh baked"", but the word ""Japan"" is actually a pun - pan means bread in Japanese, so Kazuma is out to make Japan, a unique Japanese bread to compete with the best bread from around the world!

Azuma became obsessed with bread when he was six years old. His sister yelled that their family should start having bread for breakfast sometimes, but their grandfather refused to even consider it, as he would only eat natto, miso soup, and rice for breakfast. Kazuma agreed, saying he didn`t like bread, but his sister kidnaps him and takes him to a bread store to show him the wonders of fresh-baked bread. Not only is Kazuma converted, but the owner discovers that Kazuma has the magical ""Hands of the Sun"" whose warmth makes them particularly suited to making bread. The owner packs up shop and goes to Tokyo to fulfill his dream of making Japan, but Kazuma continues his bread-baking dream as well, and ends up going to Tokyo himself when he`s sixteen, to compete for a spot at the foremost bread store in Japan - Pantasia!",69,24,TV,https://media.kitsu.io/anime/poster_images/19/original.jpg?1597697267,Fall ,Sunrise,"Comedy, Shounen, Baking, Food and Beverage, Parody, Tournaments, Based on a Manga",Yakitate!! Japan,焼きたて!! ジャぱん,1656,2004,2006
20,PG,Teens 13 or older,73.15,"Mirai, an improved Kongou-class Aegis guided missile destroyer, is one of the newest and most advanced ships in the entire Japanese Self Defense Force (SDF). Her crew, also one of the newest, is lead by Capt. Umezu Saburo and Executive Officer Kadomatsu Yosuke. While running scheduled training exercises one day, Mirai encounters a fierce storm that throws their navigation systems into temporary disarray. After a few minutes of recovery, the crew is shocked to discover that they've been transported back in time to June 4, 1942—The Battle of Midway, during World War II. Letting history take its course for this battle, they manage to avoid the conflict firsthand and make a vow to remain annonymous, changing history as little as possible. However, when the crew comes across the dying Lt. Commander Kusaka Takumi, XO. Kadomatsu's instincts to save lives takes over, changing the course of history more than he could've imagined.
(Source: ANN)",26,18,TV,https://media.kitsu.io/anime/poster_images/20/original.jpg?1597692285,Fall ,Studio DEEN,"Action, Adventure, Drama, Seinen, Historical, Military, Ship, Time Travel, War, World War 2, Based on a Manga",Zipang,ジパング,468,2004,2005
2380,PG,Children,61.92,A man with his cat finds himself in a bizarre situation involving a television. A stop motion animation from the creator of Kotatsu Neko.,1,2,ONA,https://media.kitsu.io/anime/poster_images/5441/original.jpg?1408455485,,,Stop Motion Animation,Television,テレビ,2,2004,
21,PG,Teens 13 or older,82.39,"In the year 2015, the world stands on the brink of destruction. Humanity's last hope lies in the hands of Nerv, a special agency under the United Nations, and their Evangelions, giant machines capable of defeating the Angels who herald Earth's ruin. Gendou Ikari, head of the organization, seeks compatible pilots who can synchronize with the Evangelions and realize their true potential. Aiding in this defensive endeavor are talented personnel Misato Katsuragi, Head of Tactical Operations, and Ritsuko Akagi, Chief Scientist.

Face to face with his father for the first time in years, 14-year-old Shinji Ikari's average life is irreversibly changed when he is whisked away into the depths of Nerv, and into a harrowing new destiny—he must become the pilot of Evangelion Unit-01 with the fate of mankind on his shoulders.
Written by Hideaki Anno, Neon Genesis Evangelion is a heroic tale of a young boy who will become a legend. But as this psychological drama unfolds, ancient secrets beneath the big picture begin to bubble to the surface...

(Source: MAL Rewrite)",26,24,TV,https://media.kitsu.io/anime/poster_images/21/original.jpg?1597690706,Fall ,GAINAX,"Drama, Mecha, Sci Fi, Conspiracy, Kaijuu, Loneliness, Melancholy, Military, Monsters, Post-apocalyptic, Psychological, Super Robot, Original Work, Emotional Abuse,, Explicit Violence,, Mature Themes,, Suicide",Neon Genesis Evangelion,新世紀エヴァンゲリオン,624,1995,1996
22,R,Mild Nudity,82.39,"With the final Angel vanquished, Nerv has one last enemy left to face—the humans under Seele's command.

Left in a deep depression nearing the end of the original series, an indecisive Shinji struggles with the ultimatum presented to him: to completely accept mankind's existence, or renounce humanity's individuality. Meanwhile, at the core of a compromised Nerv, Gendou Ikari and Rei Ayanami approach Lilith in an attempt to realize their own ideals concerning the future of the world.

The End of Evangelion serves as an alternate ending to the polarizing final episodes of Neon Genesis Evangelion. With the fate of the universe hanging in the balance, the climactic final battle draws near.

(Source: MAL Rewrite)",1,87,movie,https://media.kitsu.io/anime/poster_images/23/original.png?1597604317,,GAINAX,"Mecha, Military, Post-apocalyptic, Psychological, Super Robot, Original Work, Explicit Violence,, Nudity,, Sexual Content",Neon Genesis Evangelion: The End of Evangelion,新世紀エヴァンゲリオン劇場版 THE END OF EVANGELION,87,1997,
23,R,Mild Nudity,82.29,"Born from the corpse of his mother, a young mercenary known only as Guts, embraces the battlefield as his only means of survival. Day in and day out, putting his life on the line just to make enough to get by, he moves from one bloodshed to the next.

After a run-in with the Band of the Hawk, a formidable troop of mercenaries, Guts is recruited by their charismatic leader Griffith, nicknamed the ""White Hawk."" As he quickly climbed the ranks in order to become the head of the offensive faction, Guts proves to be a mighty addition to Griffith's force, taking Midland by storm. However, while the band's quest for recognition continues, Guts slowly realizes that the world is not as black-and-white as he once assumed.

Set in the medieval era, Berserk is a dark, gritty tale that follows one man's struggle to find his own path, while supporting another's lust for power, and the unimaginable tragedy that begins to turn the wheels of fate.

(Source: MAL Rewrite)",25,25,TV,https://media.kitsu.io/anime/poster_images/24/original.jpg?1597604321,Fall ,OLM,"Action, Fantasy, Seinen, Dark Fantasy, Demons, Medieval, Mercenaries, Overpowered Main Characters, Swordplay, Based on a Manga, Explicit Sex,, Explicit Violence,, Mature Themes,, Physical Abuse,, Sexual Abuse",Berserk,剣風伝奇ベルセルク,625,1997,1998
24,R,Mild Nudity,82.16,"In the year 2029, advances in Cybernetics allow people to replace nearly all of their body parts and organs with robotics. Through these prosthetics, the weak are made strong, and the dying are given new life. Public Security Section 9 of Niihama City (a fictional setting inspired by Hong Kong), a diverse team of AI, cyborgs and unmodified humans, must investigate cases of corruption and terrorism. Major Motoko Kusanagi has full-body prosthetics, owing to a childhood accident. She, her second in command Batou and information specialist Ishikawa have been assigned an important task: to investigate a hacker known only as ""The Puppetmaster."" But as Motoko and her team discover, things are never so simple.Ghost in the Shell is a futuristic thriller with intense action scenes mixed with slower artistic sequences and many philosophical questions about one's soul, gender and human identity in such an advanced age of technology.",1,83,movie,https://media.kitsu.io/anime/poster_images/25/original.jpg?1597696628,,Production I.G,"Action, Sci Fi, Cyberpunk, Cyborgs, Hacking, Noir, Police, Based on a Manga, Nudity,, Violence",Ghost in the Shell,GHOST IN THE SHELL（攻殻機動隊）,83,1995,
25,PG,Teens 13 or older,82.16,"In the final years of the Bakumatsu era lived a legendary assassin known as Hitokiri Battousai. Feared as a merciless killer, he was unmatched throughout the country, but mysteriously disappeared at the peak of the Japanese Revolution. It has been ten peaceful years since then, but the very mention of Battousai still strikes terror into the hearts of war veterans.
Unbeknownst to them, Battousai has abandoned his bloodstained lifestyle in an effort to repent for his sins, now living as Kenshin Himura, a wandering swordsman with a cheerful attitude and a strong will. Vowing never to kill again, Kenshin dedicates himself to protecting the weak. One day, he stumbles across Kaoru Kamiya at her kendo dojo, which is being threatened by an impostor claiming to be Battousai. After receiving help from Kenshin, Kaoru allows him to stay at the dojo, and so the former assassin temporarily ceases his travels.Rurouni Kenshin: Meiji Kenkaku Romantan tells the story of Kenshin as he strives to save those in need of saving. However, as enemies from both past and present begin to emerge, will the reformed killer be able to uphold his new ideals?
[Written by MAL Rewrite]",94,25,TV,https://media.kitsu.io/anime/poster_images/27/original.png?1597697791,Winter,Gallop,"Action, Shounen, 19th Century, Feudal Japan, Overpowered Main Characters, Samurai, Swordplay, Based on a Manga",Rurouni Kenshin,るろうに剣心 -明治剣客浪漫譚-,2350,1996,1998
362,PG,Teens 13 or older,75.95,"Two side stories:
Chapter L (or chapter 25) about Lohmeyer/Romaiya senpai.
Chapter F (or chapter 26) about Miwako finding ways to make fun of Yamazaki.
(Source: momento)",2,22,special,https://media.kitsu.io/anime/poster_images/592/original.jpg?1597697535,,J.C.Staff,"Comedy, Josei, Based on a Manga",Honey and Clover Specials,ハチミツとクローバー,44,2005,2006
26,R,Mild Nudity,80.87,"Japan, 1988. An explosion caused by a young boy with psychic powers tears through the city of Tokyo and ignites the fuse that leads to World War III. In order to prevent any further destruction, he is captured and taken into custody, never to be heard from again. Now, in the year 2019, a restored version of the city known as Neo-Tokyo—an area rife with gang violence and terrorism against the current government—stands in its place. Here, Shoutarou Kaneda leads ""the Capsules,"" a group of misfits known for riding large, custom motorcycles and being in constant conflict with their rivals ""the Clowns.""

During one of these battles, Shoutarou's best friend Tetsuo Shima is caught up in an accident with an esper who finds himself in the streets of Tokyo after escaping confinement from a government institution. Through this encounter, Tetsuo begins to develop his own mysterious abilities, as the government seeks to quarantine this latest psychic in a desperate attempt to prevent him from unleashing the destructive power that could once again bring the city to its knees.

(Source: MAL Rewrite)",1,124,movie,https://media.kitsu.io/anime/poster_images/29/original.jpg?1597696956,,TMS Entertainment,"Action, Sci Fi, Seinen, Cyberpunk, Dystopia, Human Experimentation, Motorcycles, Noir, Post-apocalyptic, Psychic Powers, Superpowers, Based on a Manga, Explicit Violence,, Nudity",Akira,AKIRA（アキラ）,124,1988,
27,PG,Teens 13 or older,73.46,"In a world where humans can have their wish granted via the Goddess Help Hotline, a human, Keiichi Morisato, summons the Goddess Belldandy by accident and jokes that she should stay with him forever. Unfortunately for him, his ""wish"" is granted.
Suddenly, Keiichi is now living with this gorgeous woman all alone, causing him to be kicked out of the all-male dormitory he was staying in. But soon, after they find lodging in a Buddhist temple, Keiichi and Belldandy's relationship begins to blossom. Although they are both awkward and rather uncomfortable with one another at first, what awaits these two strangers could turn out to be an unexpected romance.
[Written by MAL Rewrite]",24,24,TV,https://media.kitsu.io/anime/poster_images/31/original.jpg?1597698802,,AIC,"Comedy, Fantasy, Romance, Seinen, Contemporary Fantasy, God-Human Relationship, Gods, Interspecies Relationship, Magic, Non-Human Protagonists, Sudden Girlfriend Appearance, Based on a Manga",Ah! My Goddess,ああっ女神さまっ,576,1993,1994
28,R,Mild Nudity,61.21,"Setsuna Mudo is a college freshman, just trying to get by without running afoul of his bullying seniors. It doesn't help that he's in love with his sister, Sara, who only sees him once a month. But there's more to his life than just keeping his head down.
Setsuna is ambushed by mysterious beings, angels, and demons, all professing to know his true destiny. The angels say he is the reincarnation of their leader Alexiel, while the demons claim he led them to war against God himself.
As Setsuna struggles with his identity in such strange times, the eternal conflict between Heaven and Hell threatens to reignite. Will he be prepared when it does?",3,30,OVA,https://media.kitsu.io/anime/poster_images/32/original.jpg?1597691957,,Hal Film Maker,"Shoujo, Angels, Reincarnation, Siblings, Star-Crossed Lovers, Based on a Manga, Explicit Violence,, Incest,, Mature Themes",Angel Sanctuary,天使禁猟区,90,2000,
